fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2009-01-03,2011-03-01,238038000,1075166000,0.22139650993427992
2010-01-02,2011-03-01,270373000,1282365000,0.21083934761163944
2011-01-01,2011-03-01,346053000,1039374000,0.33294367571249617
2011-12-31,2012-02-28,394682000,847914000,0.46547409289149605
2012-12-29,2013-02-25,387670000,1210694000,0.32020477511245615
2013-12-28,2014-02-25,391758000,1516205000,0.25838062794938677
2015-01-03,2015-03-03,493825000,2002912000,0.2465535180776789
2016-01-02,2016-03-01,473398000,2460648000,0.19238753369031247
2016-12-31,2017-02-28,459622000,2916192000,0.157610335670628
2017-12-30,2018-02-21,475505000,3415196000,0.13923212606245733
2018-12-29,2019-02-19,423847000,3550813000,0.11936618458927575
2019-12-28,2020-02-18,486896000,3549081000,0.13718931745992835
2021-01-02,2021-02-22,493021000,3559512000,0.13850803143801735
2022-01-01,2022-02-15,616108000,3128291000,0.19694715101632168
2022-12-31,2023-02-28,501872000,2678281000,0.18738586429131224
2023-04-22,2024-03-12,48323000,2562720000,0.018856137229193982
2023-07-15,2024-03-12,126900000,2642654000,0.04801990725989857
2023-10-07,2024-03-12,64862000,2566336000,0.025274165191151898
2023-12-30,2024-03-12,29735000,2519728000,0.011800876920048513
2024-12-28,2025-02-26,-335788000,2169942000,-0.1547451498703652
2026-01-03,2026-02-13,44000000,2198000000,0.020018198362147407
