fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-02-23,118611000,546822000,,,0.21690970736363935,
2010-12-31,2012-02-23,288116000,1572064000,,,0.18327243674557778,
2011-12-31,2012-02-23,770480000,6211803000,,,0.12403484141399848,
2012-12-31,2013-02-27,1277000000,10896000000,,,0.11719897209985315,
2013-12-31,2014-02-27,1259000000,8697000000,,,0.14476256180292055,
2014-12-31,2015-02-25,-233000000,9428000000,,,-0.02471361900721256,
2015-09-30,2016-02-23,-633000000,7971000000,,,-0.07941287165976665,
2015-12-31,2016-02-23,215000000,7971000000,,,0.026972776314138754,
2016-12-31,2017-02-27,623000000,7356000000,1.79,,0.08469276780859163,
2017-12-31,2018-02-26,771000000,8754000000,2.04,,0.08807402330363262,
2018-12-31,2019-02-22,129000000,9906000000,0.21,,0.013022410660205935,
2019-12-31,2020-02-25,688000000,11041000000,1.16,,0.06231319626845395,
2020-12-31,2021-02-26,-266000000,11079000000,-0.66,,-0.02400938712880224,
2021-12-31,2022-02-23,749000000,10291000000,1.22,,0.07278204256146147,
2022-12-31,2023-02-27,-1190000000,7870000000,-2.41,,-0.15120711562897077,
2023-12-31,2024-02-22,155000000,8257000000,0.05,,0.018771951071817852,
2024-12-31,2025-02-21,863000000,9762000000,0.93,,0.0884040155705798,
2025-12-31,2026-02-23,1670000000,12393000000,1.47,,0.1347534898733156,
