fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2017-12-31,2019-03-29,-693,24307,,,286309,,,-0.028510305673262844,,,,11.778870284280249
2018-12-31,2019-03-29,2086094,5000009,,,8574393,-1634204.0,9949930.0,0.4172180490075118,,-11584134.0,,1.7148755132240763
2019-12-31,2020-03-06,-14995895,-14519195,-0.95,,575369900,60417846.0,21331581.0,1.0328323987659096,,39086265.0,,
2020-03-31,2021-03-16,-13777000,-33173000,-0.33,,716968000,,,0.4153076296988515,,,,
2020-06-30,2021-03-16,-9709000,-13992000,-0.22,,771744000,,,0.6938965122927387,,,,
2020-09-30,2021-03-16,-33438000,404907000,-0.7,,1160277000,,,-0.08258192622009498,,,,2.8655394942542363
2020-12-31,2021-03-16,-64481000,418343000,-3.08,,1418722000,195634000.0,39755000.0,-0.15413428693679587,,155879000.0,,3.391288966231059
2021-12-31,2022-03-01,156175000,2061906000,0.67,,3183795000,275679000.0,203308000.0,0.07574302611273259,,72371000.0,,1.544102883448615
2022-12-31,2023-02-28,69316000,2151158000,0.33,,3061829000,373867000.0,391423000.0,0.03222264473367368,,-17556000.0,,1.4233398941407371
2023-12-31,2024-02-27,-678895000,1458454000,-5.31,,3041981000,480666000.0,337463000.0,-0.4654894840701181,,143203000.0,,2.0857572470575008
2024-12-31,2025-02-25,90422000,1571145000,0.61,,2908829000,541839000.0,306055000.0,0.057551658185590764,,235784000.0,,1.8514070948257482
2025-12-31,2026-02-24,-70794000,1518562000,-0.52,,2790253000,601771000.0,382388000.0,-0.04661910412614039,,219383000.0,,1.8374310696566885
