fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-02-28,-51740000,816808000,,,2683298000,82647000,,-0.06334413962644832,,,,3.285102496547536
2011-12-31,2012-02-28,2109000,973407000,,,2487109000,74593000,,0.002166616841670545,,,,2.5550555933951573
2012-12-31,2013-03-01,-53780000,831942000,,,2466250000,130635000,,-0.06464392950470105,,,,2.9644494447930265
2013-12-31,2014-03-03,-41283000,617789000,,,1923959000,145457000,,-0.0668237861146767,,,,3.1142655502121275
2014-12-31,2015-03-02,-31401000,531633000,,,2071583000,111319000,,-0.0590651821839502,,,,3.8966411039194333
2015-12-31,2016-02-29,270939000,811086000,2.35,,4034826000,208955000,,0.33404472522026024,,,,4.974597021770811
2016-12-31,2017-03-16,-46285000,791621000,-0.95,,3966399000,175055000,,-0.058468635874995734,,,,5.010477235950032
2017-12-31,2018-03-14,-67008000,632500000,-1.3,,3920582000,207382000,,-0.10594150197628459,,,,6.198548616600791
2018-12-31,2019-03-01,-126966000,452489000,-1.75,,4152106000,181560000,,-0.28059466638968017,,,,9.17614792845793
2019-12-31,2020-03-12,-113635000,268762000,-1.58,,4352212000,177209000,,-0.4228090280620028,,,,16.19355414827989
2020-12-31,2021-03-16,-543876000,-283621000,-33.0,,3994887000,-149531000,,1.9176154092962088,,,,
2021-12-31,2022-02-28,-267005000,-2654000,-12.43,,4078055000,-144188000,,100.60474755086662,,,,
2022-12-31,2023-03-10,-139825000,-150389000,-4.46,,4044168000,39224000,,0.9297555007347612,,,,
2023-12-31,2024-03-14,-178489000,-345901000,-5.61,,3686558000,14390000,,0.5160118068464676,,,,
2024-12-31,2025-03-21,-60300000,-419237000,-17.54,,3372771000,-23592000,,0.143832724687945,,,,
2025-12-31,2026-03-23,-179839000,-626352000,-35.99,,3206874000,-15668000,,0.2871212992055585,,,,
