fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-12-31,2011-02-18,-26249000,202125000,,,,65491000.0,10764000,-0.12986518243661102,,54727000.0,,
2009-12-31,2011-02-18,-47590000,177965000,,,303420000.0,-72145000.0,4949000,-0.2674121315989099,,-77094000.0,,1.7049419829741803
2010-12-31,2011-02-18,-43515000,158233000,,,235032000.0,-84341000.0,4732000,-0.2750058458096604,,-89073000.0,,1.4853538768777688
2011-12-31,2012-02-13,-57649000,117997000,,,163920000.0,-87068000.0,1291000,-0.4885632685576752,,-88359000.0,,1.389187860708323
2012-12-31,2013-02-19,-106014000,134053000,,,153467000.0,-115609000.0,8348000,-0.7908364602060379,,-123957000.0,,1.1448233161510746
2013-12-31,2014-02-20,-89225000,270347000,,,150183000.0,-68657000.0,4006000,-0.3300388019841167,,-72663000.0,,0.5555193880457339
2014-12-31,2015-02-13,-360395000,936267000,,,143328000.0,,8961000,-0.38492759009983263,,,,0.1530845367827767
2015-12-31,2016-02-12,-290073000,1264714000,,,121796000.0,,12950000,-0.2293585743496158,,,,0.09630319582134775
2016-12-31,2017-02-15,-410108000,920221000,,,342589000.0,-307701000.0,64557000,-0.4456625093319974,,-372258000.0,,0.37228991731334105
2017-12-31,2018-02-15,-490874000,1766431000,,,228299000.0,-382786000.0,104209000,-0.2778902770614873,,-486995000.0,,0.12924308959704625
2018-12-31,2019-02-14,-761497000,1301965000,,,272837000.0,-562616000.0,126887000,-0.5848828501534219,,-689503000.0,,0.209557860618373
2019-12-31,2020-02-13,-886116000,1438692000,-8.11,,956442000.0,-278427000.0,140156000,-0.6159177919943949,,-418583000.0,,0.6647996930545246
2020-12-31,2021-02-11,-858281000,1016247000,-7.46,,2390814000.0,-614961000.0,70361000,-0.8445594427339023,,-685322000.0,,2.3525914467644187
2021-12-31,2022-02-10,-852824000,588203000,-7.2,,3055101000.0,-641693000.0,76372000,-1.449880398433874,,-718065000.0,,5.193956848230968
2022-12-31,2023-02-23,-1131156000,-158223000,-9.3,,3704582000.0,-541274000.0,72059000,7.149124969189056,,-613333000.0,,
2023-12-31,2024-02-15,-440242000,-220644000,-3.52,,4050524000.0,104156000.0,62211000,1.9952593317742608,,41945000.0,,
2024-12-31,2025-02-13,-278157000,67088000,-2.18,,4172895000.0,-8312000.0,34277000,-4.146151323634629,,-42589000.0,,62.20031898402099
2025-12-31,2026-02-12,313747000,789176000,2.33,,4177155000.0,524080000.0,58697000,0.3975627743367766,,465383000.0,,5.293058836051781
