fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2013-12-31,2016-02-29,4524000,-140690000,0.04,,-0.03215580353969721,
2014-12-31,2016-02-29,13502000,-121844000,0.14,,-0.11081382751715309,
2015-12-31,2016-02-29,11768000,170131000,-0.3,,0.06917022764810646,
2016-12-31,2017-03-16,10154000,191249000,0.21,,0.053093088068434345,
2017-12-31,2018-02-28,29251000,232827000,0.59,,0.12563405446962767,
2018-12-31,2019-03-01,21524000,277589000,0.43,,0.07753909556934893,
2019-12-31,2020-02-26,53531000,355651000,1.06,,0.15051553348647972,
2020-12-31,2021-02-25,15967000,467752000,1.53,,0.034135610323419247,
2021-12-31,2022-02-24,9146000,613167000,1.01,,0.014916001676541628,
2022-12-31,2023-02-24,18085000,598859000,1.07,,0.030199095279523226,
2023-12-31,2024-02-22,31304000,688546000,1.53,,0.045463919621927945,
2024-12-31,2025-02-20,30328000,726546000,2.29,,0.041742711404370816,
