fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2012-02-27,66429000,340354000,13.01,,0.19517619889879362,
2011-12-31,2012-02-27,79423000,358800000,15.55,5105936.0,0.22135730211817167,70.27115106809016
2012-12-31,2013-02-26,674387000,332153000,132.04,5105936.0,2.0303504710178744,65.05232341337612
2013-12-31,2014-02-24,56915000,333581000,3.09,,0.17061823065462361,
2014-12-31,2015-02-17,67925000,348399000,3.55,,0.1949632461631635,
2015-12-31,2016-02-16,76907000,352880000,4.61,,0.21794094309680345,
2016-12-31,2017-02-13,86477000,352845000,4.23,,0.24508495231617283,
2017-12-31,2018-02-12,80509000,343955000,3.5,,0.2340684101117879,
2018-12-31,2019-02-11,32844000,285092000,1.95,,0.11520491630771822,
2019-12-31,2020-02-18,60075000,253515000,2.82,,0.23696822673214601,
2020-12-31,2021-02-16,41939000,203228000,8.19,,0.2063642805125278,
2021-12-31,2022-02-14,132930000,252589000,25.94,,0.5262699484142224,
2022-12-31,2023-02-13,57632000,236499000,11.24,,0.24368813398788156,
2023-12-31,2024-02-12,102413000,237657000,19.97,,0.430927765645447,
2024-12-31,2025-02-10,43444000,176859000,8.46,,0.24564200860572546,
2025-12-31,2026-02-09,28224000,109156000,5.5,,0.25856572245227016,
