fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2015-12-31,2018-03-01,103900000,1538703000,1.06,,0.06752440204509902,
2016-12-31,2018-03-01,111700000,2009654000,1.13,,0.055581707099829125,
2017-12-31,2018-03-01,-487200000,2112400000,-3.8,,-0.23063813671653097,
2018-12-31,2019-03-01,110100000,1397600000,0.41,,0.07877790497996566,
2019-12-31,2020-02-28,-149100000,1214200000,-1.44,,-0.12279690331082194,
2020-12-31,2021-03-12,-4589100000,-2885100000,-39.15,,1.5906207757096809,
2021-12-31,2022-03-01,-1269100000,-1789500000,-2.66,,0.7091925118748253,
2022-12-31,2023-02-28,-973600000,-2624500000,-0.93,,0.37096589826633647,
2023-12-31,2024-02-28,-396600000,-1847900000,-2.37,,0.2146220033551599,
2024-12-31,2025-02-26,-352600000,-1760500000,-1.06,,0.20028401022436806,
2025-12-31,2026-02-23,-632400000,-1894800000,-1.34,,0.3337555414819506,
