fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-12-31,2015-03-26,18094000,233439000,0.46,,0.07751061305094693,
2013-12-31,2015-03-26,11862000,251545000,0.31,,0.047156572382675066,
2014-12-31,2015-03-26,-10699000,281860000,-0.25,,-0.037958560987724405,
2015-12-31,2016-03-15,-2787000,295510000,-0.06,,-0.009431152922066935,
2016-12-31,2017-03-15,10532000,329255000,0.22,,0.031987365415863084,
2017-12-31,2018-03-14,4508000,337329000,0.09,,0.013363808033107145,
2018-12-31,2019-03-15,-5738000,332435000,-0.12,,-0.017260517093567164,
2019-12-31,2020-03-16,48939000,381366000,0.98,,0.1283255455389311,
2020-12-31,2021-03-15,1403000,402306000,0.03,,0.0034873951668630346,
2021-12-31,2022-03-11,62116000,445522000,1.25,,0.1394229690116313,
