fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2011-03-01,38351000,393367000,2.08,,878115000,180241000,16560000,0.09749419753055034,,163681000,,2.23230469256445
2010-12-31,2011-03-01,64662000,451431000,3.48,,1234831000,-239285000,30897000,0.14323783701163634,,-270182000,,2.7353704109819663
2011-12-31,2012-02-27,95106000,523995000,5.09,,1195281000,290265000,44162000,0.18150173188675464,,246103000,,2.281092376835657
2012-12-31,2013-03-01,79480000,594413000,4.23,,1570859000,328482000,69274000,0.13371174587366022,,259208000,,2.6427063338116765
2013-12-31,2014-02-28,89939000,701474000,3.18,,1549135000,337188000,46786000,0.12821430302477355,,290402000,,2.2083997411165632
2014-12-31,2015-03-02,109726000,803103000,3.84,,1540643000,-10071000,59675000,0.13662755586767825,,-69746000,,1.918362899902005
2015-12-31,2016-02-29,-13067000,764254000,-0.46,,1575362000,154134000,72469000,-0.017097718821229593,,81665000,,2.061306843012925
2016-12-31,2017-03-01,11594000,774361000,0.41,,1442152000,39585000,77740000,0.014972344939892376,,-38155000,,1.8623768500738027
2017-12-31,2018-02-26,42511000,815202000,1.5,,1339455000,75285000,34602000,0.05214781121734245,,40683000,,1.6430958216491127
2018-12-31,2019-02-27,41484000,830322000,1.46,,1515239000,-35519000,142579000,0.04996134029930557,,-178098000,,1.8248811906706073
2019-12-31,2020-02-27,18307000,973610000,0.55,,2705086000,348562000,165223000,0.018803216893828124,,183339000,,2.7784081921919452
2020-12-31,2021-02-25,7710000,961891000,0.23,,3111461000,-74432000,77147000,0.008015461211301488,,-151579000,,3.2347334573252065
2021-12-31,2022-02-24,103986000,1072425000,3.07,,3261515000,-51050000,75766000,0.09696342401566543,,-126816000,,3.0412523020257827
2022-12-31,2023-02-23,131080000,1198601000,3.81,,3178227000,287117000,108284000,0.10936082983411494,,178833000,,2.6516138398015685
2023-12-31,2024-02-21,101190000,1282899000,2.94,,2338620000,946750000,150443000,0.07887604558114084,,796307000,,1.8229182499947385
2024-12-31,2025-02-19,114012000,1366186000,3.32,,2521478000,331506000,149187000,0.08345276558243167,,182319000,,1.8456330250785764
2025-12-31,2026-02-18,95713000,1244779000,,,2422597000,176998000,233123000,0.076891560670609,,-56125000,,1.9462065153734116
