fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-05-31,2012-08-14,12312000,391349000,0.5,,0.03146041001765688,
2011-05-31,2012-08-14,8117000,405639000,0.32,,0.020010403338929443,
2012-05-31,2012-08-14,-5094000,523520000,-0.2,,-0.00973028728606357,
2013-05-31,2013-08-14,-612000,526830000,-0.02,,-0.0011616650532429815,
2014-05-31,2014-08-14,3088000,537894000,0.09,,0.0057409080599523325,
2015-05-31,2015-08-10,-3268000,545022000,-0.09,,-0.005996088231300755,
2014-08-31,2016-08-01,284000,539585000,0.01,,0.0005263304206010174,
2014-11-30,2016-08-01,1353000,543239000,0.03,,0.00249061646899431,
2015-02-28,2016-08-01,-2800000,543570000,-0.12,,-0.005151130489173428,
2015-08-31,2016-08-01,-775000,547182000,-0.02,,-0.0014163477599774847,
2015-11-30,2016-08-01,-1109000,547726000,-0.01,,-0.0020247349952348436,
2016-02-29,2016-08-01,-515000,550796000,0.02,,-0.0009350104212812003,
2016-05-31,2016-08-01,-43590000,507228000,-1.21,,-0.08593768482812462,
2017-05-31,2017-08-04,5008000,515027000,0.14,,0.009723762055193224,
2018-05-31,2018-07-23,16335000,542595000,0.44,,0.030105327177729246,
2019-05-31,2019-07-25,61340000,614815000,1.64,,0.09976984946691281,
2020-05-31,2020-08-10,-166787000,454872000,-4.39,,-0.36666798571905945,
2021-05-31,2021-07-27,-31548000,439457000,-0.82,,-0.07178859365080087,
2022-05-31,2022-07-22,-26547000,424489000,-0.68,,-0.06253872302933645,
2023-05-31,2023-08-03,-52442000,378296000,-1.33,,-0.13862689534121428,
2024-05-31,2024-07-25,-184349000,205586000,-4.59,,-0.8967001644080823,
2025-05-31,2025-07-18,-33993000,182970000,-0.83,,-0.18578455484505657,
2026-05-31,2026-07-14,-36742000,170825000,-0.88,,-0.21508561393238695,
