fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-31,2014-02-28,-1506000,28175505,-1.27,,10593665,-137000,611193,-0.053450683492629505,,-748193,,0.3759884694169634
2013-12-31,2014-02-28,301000,40962000,-0.92,,3538000,-5484000,191000,0.007348274010058103,,-5675000,,0.08637273570626434
2014-12-31,2015-02-23,28747000,139785000,2.59,,123924000,22033000,1120000,0.20565153628787067,,20913000,,0.8865328897950424
2015-12-31,2016-02-23,15375000,160082000,1.32,,125183000,17264000,2183000,0.09604452717982034,,15081000,,0.7819929785984683
2016-12-31,2017-03-02,3934000,169648000,0.34,,153216000,27472000,4566000,0.023189191738187304,,22906000,,0.9031406205790814
2017-12-31,2018-02-27,-1076000,174756000,-0.09,,237382000,39419000,10369000,-0.006157156263590377,,29050000,,1.3583625168806794
2018-12-31,2019-02-27,15494000,197263000,1.3,,233341000,67074000,5743000,0.07854488677552303,,61331000,,1.1828928891885453
2019-12-31,2020-02-27,6094000,212791000,0.5,,243998000,45631000,6635000,0.028638429256876465,,38996000,,1.1466556386313331
2020-12-31,2021-03-11,-22548000,195700000,-1.88,,265490000,15267000,6135000,-0.11521716913643332,,9132000,,1.356617271333674
2021-12-31,2022-03-15,-42603000,333890000,-3.4,,412858000,3322000,2557000,-0.12759591482224686,,765000,,1.2365090299200336
2022-12-31,2023-03-09,-47896000,313690000,-3.05,,421547000,-31203000,8876000,-0.15268577257802288,,-40079000,,1.3438330836175842
2023-12-31,2024-02-29,18779000,432749000,0.85,,446823000,118959000,8868000,0.04339466988947404,,110091000,,1.032522316631581
2024-12-31,2025-02-28,-18522000,403680000,-1.04,,855167000,64017000,16236000,-0.045882877526753865,,47781000,,2.1184279627427665
2025-12-31,2026-02-27,78337000,540724000,3.32,,899653000,185225000,13835000,0.1448742796694802,,171390000,,1.6637933585341136
