fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2007-12-31,2010-02-22,8750000,33507000,0.64,,0.26113946339570837,
2008-12-31,2010-02-22,16187000,53475000,0.86,,0.30270219728845255,
2009-12-31,2010-02-22,23943000,82018000,1.27,,0.29192372406057204,
2010-12-31,2011-02-18,29868000,97300000,1.59,,0.30696813977389514,
2011-12-31,2012-02-28,40757000,133833000,2.23,,0.3045362504016199,
2012-12-31,2013-02-28,42323000,171153000,2.35,,0.24728167195433326,
2013-12-31,2014-02-27,42034000,207069000,2.35,,0.20299513688673823,
2014-12-31,2015-02-26,40877000,234218000,2.33,,0.17452544210948776,
2015-12-31,2016-02-29,32414000,237153000,1.93,,0.13667969622986004,
2016-12-31,2017-03-01,24155000,264670000,1.49,,0.0912645936449163,
2017-12-31,2018-02-27,21121000,289406000,1.29,,0.07298051871764925,
2018-12-31,2019-03-12,25639000,321266000,1.54,,0.07980614195090673,
2019-12-31,2020-03-10,10013000,296733000,0.62,,0.033744140355134074,
2020-12-31,2021-03-09,18822000,306925000,1.25,,0.061324427791805816,
2021-12-31,2022-03-02,17752000,415612000,0.97,,0.0427129149302715,
2022-12-31,2023-03-14,-114993000,349727000,-6.08,,-0.3288078987324399,
2023-12-31,2024-03-05,-47286000,291976000,-2.93,,-0.16195166726032276,
2024-12-31,2025-03-06,16113000,303879000,0.55,,0.0530243945781051,
2025-12-31,2026-03-12,31557000,294782000,1.36,,0.1070519909628132,
