fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-15,1301000,35512000,0.06,,1422000.0,-3441000.0,1134000.0,0.036635503491777424,,-4575000.0,,0.040042802432980404
2011-12-31,2012-03-15,933000,35176000,0.04,,1694000.0,3766000.0,269000.0,0.026523766204230158,,3497000.0,,0.04815783488742324
2012-12-31,2013-03-06,977000,34833000,0.05,,2466000.0,-1014000.0,519000.0,0.02804811529296931,,-1533000.0,,0.07079493583670657
2013-12-31,2014-03-06,2079000,35581000,0.11,,2982000.0,6093000.0,349000.0,0.058430060987605746,,5744000.0,,0.08380877434585875
2014-12-31,2015-03-06,2742000,37906000,0.15,,4046000.0,-879000.0,947000.0,0.07233683321901546,,-1826000.0,,0.10673771962222339
2015-12-31,2016-03-03,1041000,36112000,0.06,,3022000.0,5971000.0,274000.0,0.028826982720425342,,5697000.0,,0.08368409392999557
2016-12-31,2017-03-08,3168000,32664000,0.19,,3272000.0,6833000.0,267000.0,0.09698750918442321,,6566000.0,,0.10017144256674014
2017-12-31,2018-03-12,2633000,31323000,0.18,,2801000.0,4008000.0,1222000.0,0.0840596366886952,,2786000.0,,0.08942310762059828
2018-12-31,2019-03-06,3625000,32194000,0.26,,2061000.0,2000000.0,606000.0,0.11259862086103001,,1394000.0,,0.06401814002609182
2019-12-31,2020-03-10,3000000,33227000,0.23,,4864000.0,3101000.0,1296000.0,0.0902880187799079,,1805000.0,,0.1463869744484907
2020-12-31,2021-03-10,27086000,60020000,1.94,,8782000.0,18274000.0,1135000.0,0.45128290569810064,,17139000.0,,0.14631789403532156
2021-12-31,2022-03-11,6756000,62620000,0.5,,5269000.0,-480000.0,2524000.0,0.10788885340146918,,-3004000.0,,0.08414244650271478
2021-03-31,2023-03-16,3719000,60901000000,,,,,,6.106632075006979e-05,,,,
2021-06-30,2023-03-16,5390000,61460000,,,,,,0.08769931662870159,,,,
2021-09-30,2023-03-16,6156000,61739000,,,,,,0.09971006981000664,,,,
2022-03-31,2023-03-16,1522000,62419000000,,,,,,2.4383601147086625e-05,,,,
2022-06-30,2023-03-16,2215000,61949000,,,,,,0.035755218001904794,,,,
2022-09-30,2023-03-16,2718000,61261000,,,,,,0.04436754215569449,,,,
2022-12-31,2023-03-16,3282000,60758000,0.26,,4045000.0,4277000.0,492000.0,0.05401757793212417,,3785000.0,,0.06657559498337667
2023-03-31,2024-03-13,552000,60986000,,,,,,0.009051257665693766,,,,
2023-06-30,2024-03-13,1146000,61121000,,,,,,0.01874969323145891,,,,
2023-09-30,2024-03-13,1430000,61391000,,,,,,0.023293316609926538,,,,
2023-12-31,2024-03-13,4189000,61568000,0.35,,7195000.0,8458000.0,792000.0,0.06803859147609148,,7666000.0,,0.11686265592515592
2024-12-31,2025-03-12,3929000,62234000,0.35,,11508000.0,5698000.0,3806000.0,0.06313269274030273,,1892000.0,,0.18491499823247742
2025-12-31,2026-03-11,3531000,62478000,0.33,,11654000.0,2370000.0,639000.0,0.05651589359454528,,1731000.0,,0.1865296584397708
