fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2014-12-31,2016-03-01,-6610,-610,,,10.836065573770492,
2015-12-31,2016-03-01,-110890,-49640,,,2.233883964544722,
2016-12-31,2017-03-13,-14872,-42522,,,0.3497483655519496,
2017-12-31,2018-05-21,-2942838,-2239137,,,1.3142733115481544,
2018-12-31,2019-04-05,-2001704,-870312,,,2.2999843734201066,
2020-12-31,2022-03-31,-5981082,-5012437,,,1.1932483141433996,
2021-12-31,2022-03-31,-6098944,-4170377,-3.14,,1.4624442826152169,
2022-12-31,2023-04-14,-7143153,11353119,-0.29,,-0.629179787510375,
2023-12-31,2024-04-12,-11100784,6995822,-3.81,,-1.5867733627299265,
2024-12-31,2025-04-09,-17604364,-7631882,-306.91,,2.306687131693074,
2025-12-31,2026-03-31,-34325289,4381771,-63214.16,,-7.833656528376312,
