fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2005-12-31,2012-03-22,-1207234,-209230,,,5.7698895951823355,
2006-12-31,2012-03-22,-4180912,10901050,,,-0.38353296242105117,
2007-12-31,2012-03-22,-6503419,48622055,,,-0.13375450708531345,
2008-12-31,2012-03-22,-13215076,139618107,,,-0.09465159128679491,
2009-12-31,2012-03-22,-20922717,154315015,,,-0.13558445365799304,
2010-12-31,2012-03-22,-31233718,146566115,,,-0.21310326742303295,
2011-12-31,2012-03-22,-183006936,50002568,,,-3.6599507449297404,
2011-03-31,2013-03-14,-9655000,137728000,,,-0.07010194005576208,
2011-06-30,2013-03-14,-85169000,52910000,,,-1.6096957096957096,
2011-09-30,2013-03-14,-5363000,54963000,,,-0.09757473209249859,
2012-03-31,2013-03-14,-5511000,46076000,,,-0.11960673669589374,
2012-06-30,2013-03-14,-5906000,40374000,,,-0.14628226086095011,
2012-09-30,2013-03-14,-6398000,45029000,,,-0.1420862111083968,
2012-12-31,2013-03-14,-211775334,34226730,,,-6.187425266743274,
2013-03-31,2014-03-28,-6434000,27993000,,,-0.22984317507948415,
2013-06-30,2014-03-28,-7680000,23235000,,,-0.33053582956746286,
2013-09-30,2014-03-28,-10136000,20438000,,,-0.49593893727370586,
2013-12-31,2014-03-28,-30130951,15434169,,,-1.9522237316437314,
2014-12-31,2015-03-18,-43354449,7664990,,,-5.656165109152132,
2015-12-31,2016-03-11,-45797798,2578694,,,-17.760074673458735,
2016-12-31,2017-04-17,-38850782,-13991076,,,2.77682588530003,
2017-12-31,2018-03-29,-18560130,-15202335,,,1.2208736355303313,
2018-12-31,2019-04-16,-16036492,-22635896,,,0.7084540413156166,
2019-12-31,2021-01-29,-4868261,-25106781,,,0.19390223700919684,
2020-12-31,2021-05-14,1617444,-20192203,0.32,,-0.08010240388332071,
2021-12-31,2022-03-14,-6000003,-2833606,-1.54,,2.117444344767762,
2022-12-31,2023-03-10,-19754705,4585541,-0.66,,-4.308042388019211,
2023-12-31,2024-02-21,-17069896,-1526611,-34.19,,11.181562297140529,
2024-12-31,2025-03-31,-9130274,3379923,-10.38,,-2.7013260361256752,
2025-12-31,2026-03-20,-7832755,3337849,-3.09,,-2.3466474966363067,
