fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-06,-97504000,42838000,-2.45,,819092000,335511000,3860000.0,-2.276109995798123,,331651000.0,,19.12068724030067
2011-12-31,2012-03-06,134017000,76117000,5.19,,571579000,83773000,1541000.0,1.7606710721652192,,82232000.0,,7.509216075252572
2012-12-31,2013-02-25,24451000,19295000,1.26,,361239000,32947000,2186000.0,1.2672194869137081,,30761000.0,,18.72189686447266
2013-12-31,2014-03-28,-17741000,1164000,-1.29,,351077000,-26856000,3487000.0,-15.241408934707904,,-30343000.0,,301.61254295532643
2014-12-31,2015-03-06,7177000,7441000,0.51,,260913000,-20734000,4068000.0,0.9645208977287999,,-24802000.0,,35.064238677597096
2015-12-31,2016-03-30,1713000,10959000,0.12,,269778000,864000,884000.0,0.15630988228853,,-20000.0,,24.617027101012866
2016-12-31,2017-03-31,-6335000,5787000,-0.46,,358212000,39015000,349000.0,-1.0946950060480387,,38666000.0,,61.89942975635044
2017-12-31,2018-04-02,-40781000,-36033000,-2.93,,461740000,-25465000,395000.0,1.1317681014625482,,-25860000.0,,
2018-12-31,2019-03-27,7856000,-21791000,0.56,,604737000,42856000,1383000.0,-0.3605158092790602,,41473000.0,,
2019-12-31,2020-03-30,26443000,906000,1.66,,846881000,99963000,250000.0,29.18653421633554,,99713000.0,,934.7472406181015
2020-12-31,2021-03-31,94120000,77284000,3.95,,991354000,212734000,749000.0,1.2178458671911392,,211985000.0,,12.827415765229542
2021-12-31,2022-03-15,177902000,287999000,7.56,,1516714000,212366000,,0.6177174226299397,,,,5.266386341619242
2022-12-31,2023-03-15,135597000,326411000,5.83,,1922824000,346130000,,0.4154179853007405,,,,5.890806376010612
2023-12-31,2024-03-04,102845000,394675000,4.24,,2173778000,459317000,,0.2605814911002724,,,,5.507767150186862
2024-12-31,2025-03-13,111296000,492906000,4.77,,2691344000,469405000,,0.22579558779970219,,,,5.460156703306513
2025-12-31,2026-03-12,122204000,608700000,5.96,,6979258000,637963000,,0.20076228026942664,,,,11.465841958271726
