fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-02-29,2013-04-08,-4712,17488,,,-0.26944190301921317,
2012-12-31,2013-04-08,-179175,1595727,,69963463.0,-0.11228424410942474,0.022808004801020212
2013-12-31,2014-04-15,-1513379,261495,,,-5.787410849155815,
2014-12-31,2015-04-16,-3428735,-1962472,-0.04,,1.7471510421549963,
2015-12-31,2016-04-14,-1878268,-387885,0.0,,4.842332134524408,
2016-12-31,2017-06-05,-1739629,-10507,-0.08,,165.56857333206435,
2017-12-31,2018-04-17,-1890907,-519647,,,3.6388298210131107,
2018-12-31,2019-04-15,-1848672,-1274630,,,1.4503597122302159,
2019-12-31,2020-04-14,-2085881,-1320644,,,1.5794423023918633,
2020-12-31,2021-03-31,-1546035,-3473137,,,0.4451408049840821,
2021-12-31,2022-03-25,-2772358,-1094469,,,2.5330621516004563,
2022-12-31,2023-03-30,-4628520,1696453,-1.0,,-2.728351448581246,
2023-12-31,2024-03-27,-41393525,8890997,-4.11,,-4.655667412777217,
2024-12-31,2025-03-14,-42241196,21257782,-2.91,,-1.987093291294454,
2025-12-31,2026-03-04,-28110592,51950515,-1.54,,-0.5411032402662418,
