fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-04-12,1674,-94618,,,94768.0,7835.0,,-0.01769219387431567,,,,
2011-12-31,2012-04-12,10289,-84329,,,84479.0,539.0,,-0.1220102218691079,,,,
2000-12-31,2013-03-29,-672286,1107714,,,,,,-0.606912975732003,,,,
2001-12-31,2013-03-29,-5090621,-1732907,,,,,,2.9376192721248167,,,,
2002-12-31,2013-03-29,-3192384,-1675291,,,,,,1.9055698383146569,,,,
2003-12-31,2013-03-29,-3532044,1573915,,,,,,-2.244113563947227,,,,
2004-12-31,2013-03-29,-5734791,439124,,,,,,-13.059616418141573,,,,
2005-12-31,2013-03-29,-4580237,74275,,,,,,-61.6659306630764,,,,
2006-12-31,2013-03-29,-6053362,1823762,,,,,,-3.3191622591105636,,,,
2007-12-31,2013-03-29,-5617581,3460052,,,,,,-1.6235539234670462,,,,
2008-12-31,2013-03-29,-5570905,4158765,,,,,,-1.3395575369130017,,,,
2009-12-31,2013-03-29,-3425986,845161,,,,,,-4.053648949726738,,,,
2012-12-31,2013-03-29,-55743463,-1145635,,,4643187.0,-44402658.0,815659.0,48.65726256617509,,-45218317.0,,
2013-12-31,2014-02-28,-66517255,-1559545,,,7325220.0,-50695074.0,832251.0,42.65170610658878,,-51527325.0,,
2014-12-31,2015-03-16,-24687509,-1922530,,,9491616.0,-14348754.0,151688.0,12.841156704966892,,-14500442.0,,
2015-12-31,2016-03-11,-21025314,21974048,,,4613533.0,-18543768.0,47788.0,-0.9568247962323555,,-18591556.0,,0.20995371449083938
2016-12-31,2017-03-16,-24321724,18008329,,,4520557.0,-20789237.0,59960.0,-1.3505819446101857,,-20849197.0,,0.2510259002931366
2017-12-31,2018-03-16,-26601235,13671103,,,4666004.0,-21553346.0,24739.0,-1.9458002035388073,,-21578085.0,,0.34130413617686883
2018-12-31,2019-03-15,-23653963,8812797,,,6076597.0,-20571056.0,96092.0,-2.6840471872891207,,-20667148.0,,0.6895196837054116
2019-12-31,2020-05-08,-21899054,5644463,,,6025944.0,-21461449.0,63893.0,-3.8797409071509548,,-21525342.0,,1.0675849943564162
2020-12-31,2021-03-31,-22215000,61319000,,,5078000.0,-21617000.0,253000.0,-0.3622857515615062,,-21870000.0,,0.08281283125947912
2021-12-31,2022-03-25,-24774000,73545000,-1.2,,6843000.0,-20866000.0,133000.0,-0.3368549867428105,,-20999000.0,,0.09304507444421782
2022-12-31,2023-03-31,-33017000,66481000,-1.37,,47711000.0,8644000.0,366000.0,-0.4966381372121358,,8278000.0,,0.7176636933860803
2023-12-31,2024-03-29,-48818000,36379000,-1.83,,45066000.0,-47335000.0,153000.0,-1.3419280354050414,,-47488000.0,,1.238791610544545
2024-12-31,2025-03-31,-38243000,32758000,-1.27,,44141000.0,-33072000.0,11000.0,-1.1674400146529091,,-33083000.0,,1.3474876366078514
2025-12-31,2026-03-30,-33887000,7834000,-1.09,,43941000.0,-24580000.0,104000.0,-4.325631861118203,,-24684000.0,,5.6090119989788105
