fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2015-12-31,2017-03-31,-9513000,-13121000,,,0.7250209587683866,
2016-12-31,2017-03-31,-12610000,25848000,,,-0.48785205818632005,
2017-12-31,2018-03-06,-13068000,16858000,,,-0.7751809230039151,
2018-12-31,2019-03-11,-12897000,17746000,,,-0.7267553251436943,
2019-12-31,2020-03-13,-13300000,13772000,,,-0.9657275631716526,
2020-12-31,2021-02-19,-14878000,37345000,,,-0.3983933592181015,
2021-12-31,2022-02-15,-15714000,28381000,-0.7,,-0.5536802790599344,
2022-12-31,2023-02-15,-17441000,20314000,-0.75,,-0.8585704440287486,
2023-12-31,2024-02-15,-19790000,18170000,-0.8,,-1.089157952669235,
2024-12-31,2025-03-04,-18435000,25077000,-0.68,,-0.7351357817920804,
2025-12-31,2026-02-24,-20174000,18381000,-0.65,,-1.0975463794135247,
