fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-31,2015-02-26,-4110000,-3727000,,,,,9000,1.1027636168500135,,,,
2013-12-31,2015-02-26,-8773000,-11017000,,,1754000.0,,3000,0.7963147862394482,,,,
2014-12-31,2015-02-26,-28006000,103182000,,,2940000.0,,46000,-0.27142331026729466,,,,0.028493341861952667
2015-12-31,2016-03-04,-57221000,315100000,,,9875000.0,,290000,-0.18159631862900666,,,,0.031339257378609965
2016-12-31,2017-03-09,-79049000,253736000,,,10178000.0,-60025000.0,3020000,-0.3115403411419743,,-63045000.0,,0.04011255793423085
2017-12-31,2018-02-27,-119491000,177864000,,,39915000.0,-87502000.0,20232000,-0.6718110466423785,,-107734000.0,,0.22441303467818108
2018-12-31,2019-02-26,-230699000,338857000,,,52982000.0,-179772000.0,35925000,-0.680815211136261,,-215697000.0,,0.15635504062185523
2019-12-31,2020-02-27,-290976000,290781000,,,52161000.0,-235626000.0,5733000,-1.000670607776987,,-241359000.0,,0.17938242182260877
2020-12-31,2021-03-01,-306620000,462339000,-4.15,,125781000.0,-180759000.0,4513000,-0.6631930250314163,,-185272000.0,,0.27205362299092223
2021-12-31,2022-02-28,-340141000,279614000,-3.63,,188513000.0,-220522000.0,10580000,-1.2164662713598031,,-231102000.0,,0.674190133541239
2022-12-31,2023-02-08,-228302000,126640000,-2.24,,249780000.0,-270430000.0,4193000,-1.802763739734681,,-274623000.0,,1.9723626026531902
2023-12-31,2024-03-28,-276126000,-99231000,-2.61,,264735000.0,-192977000.0,1223000,2.7826586449798953,,-194200000.0,,
2024-12-31,2025-03-07,-85403000,-97283000,-11.41,,206381000.0,-68717000.0,246000,0.8778820554464809,,-68963000.0,,
2025-12-31,2026-03-16,32688000,-38502000,2.57,,58737000.0,-50940000.0,0,-0.8489948574100047,,-50940000.0,,
