fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-07,14948000,77215000,1.2,,73673000,16503000.0,3568000.0,0.19358932849834876,,12935000.0,,0.9541280839215178
2011-12-31,2012-03-07,21591000,102863000,1.67,,72042000,27908000.0,14281000.0,0.2099005473299437,,13627000.0,,0.700368451240971
2012-12-31,2013-02-22,21874000,125134000,1.45,,86855000,24178000.0,,0.1748046094586603,,,,0.6940959291639363
2013-12-31,2014-03-07,27266000,171509000,1.49,,319762000,49549000.0,,0.1589770799200042,,,,1.864403617302882
2014-12-31,2015-02-27,56170000,228177000,2.48,,334733000,,,0.24616854459476634,,,,1.466988346765888
2015-12-31,2016-02-24,66974000,300225000,2.55,,309018000,,,0.22307935714880506,,,,1.0292880339745192
2016-12-31,2017-02-24,48424000,337449000,1.61,,266895000,,,0.14350020299363755,,,,0.790919516726972
2017-12-31,2018-03-01,19679000,329927000,0.67,,406029000,37783000.0,,0.05964652786828602,,,,1.2306631466960873
2018-12-31,2019-03-01,46803000,386625000,1.41,,388015000,54881000.0,,0.12105528612997091,,,,1.0035952150016165
2019-12-31,2020-03-02,52017000,388857000,1.6,,393859000,42689000.0,,0.13376896905546254,,,,1.0128633405082075
2020-12-31,2021-03-01,-115781000,270371000,-3.76,,349374000,37335000.0,,-0.42823009864223605,,,,1.2922021962414607
2021-12-31,2022-03-04,-25578000,256604000,-0.82,,352534000,-5530000.0,,-0.09967888263628003,,,,1.373844523078362
2022-12-31,2023-03-10,-35747000,239920000,-1.11,,375111000,-28312000.0,,-0.14899549849949983,,,,1.5634836612204068
2023-12-31,2024-03-05,-26421000,249518000,-0.8,,384274000,-23950000.0,,-0.10588815235774574,,,,1.5400652457938906
2024-12-31,2025-03-05,-16215000,256097000,-0.46,,392667000,30566000.0,,-0.06331585297758272,,,,1.5332745014584317
2025-12-31,2026-02-26,29359000,140074000,0.81,,566604000,74795000.0,,0.20959635621171666,,,,4.045033339520539
