fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-15,-5423161,-27111328,,,18105056,-3943499.0,,0.20003302678496604,,,,
2011-12-31,2012-03-15,-9219220,6071471,,,6423571,-7079290.0,20610.0,-1.5184491534259161,,-7099900.0,,1.0579925359109843
2012-12-31,2013-03-12,-9417958,-2829441,,,23060004,-8661858.0,48459.0,3.328557831741323,,-8710317.0,,
2013-12-31,2014-03-06,-14556885,136633,,,27547637,,178776.0,-106.54003791177827,,,,201.61774241947407
2014-12-31,2015-03-05,-17710476,-11245680,,,27646469,,542045.0,1.5748692831380584,,,,
2015-12-31,2016-02-29,-13356425,8195591,,,29350462,-13051819.0,408782.0,-1.629708583554255,,-13460601.0,,3.58125021124163
2016-12-31,2017-03-01,-14411144,14921149,,,31439329,-11236595.0,963787.0,-0.9658199914765278,,-12200382.0,,2.1070313686968745
2017-12-31,2018-02-28,-10445462,25182035,,,33692663,-9237599.0,1105212.0,-0.4147981686150464,,-10342811.0,,1.3379642669863654
2018-12-31,2019-02-26,-22397000,146982000,,,13191000,-17862000.0,6282000.0,-0.15237920289559265,,-24144000.0,,0.08974568314487488
2019-12-31,2020-02-24,-29135000,132153000,-0.74,,22490000,-19872000.0,4664000.0,-0.22046415896725766,,-24536000.0,,0.17018153201213745
2020-12-31,2021-03-01,-23786000,123149000,-0.6,,78232000,-9626000.0,21905000.0,-0.19314813762190516,,-31531000.0,,0.6352629741207805
2021-12-31,2022-02-25,-26985000,112550000,-0.65,,95474000,-13405000.0,27811000.0,-0.23976010661928032,,-41216000.0,,0.8482807641048423
2022-12-31,2023-03-14,-28948000,100999000,-0.69,,94388000,-16066000.0,20078000.0,-0.28661669917523935,,-36144000.0,,0.9345439063753106
2023-12-31,2024-03-05,-21716000,95665000,-0.51,,101162000,-5716000.0,13872000.0,-0.22700047039147023,,-19588000.0,,1.057460931375111
2024-12-31,2025-02-26,-9964000,103907000,-0.23,,99821000,4535000.0,3101000.0,-0.095893443175147,,1434000.0,,0.96067637406527
2025-12-31,2026-02-24,-15703000,128847000,-0.34,,92840000,812000.0,3745000.0,-0.12187322948923918,,-2933000.0,,0.7205445217971703
