fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2017-05-31,2018-08-10,-538777,552484,,,-0.9751902317533178,
2018-05-31,2018-08-10,-342539,513345,,,-0.6672686010382881,
2019-05-31,2019-07-17,-149975,677370,,,-0.2214077978062211,
2020-05-31,2020-08-21,-172767,504603,,,-0.3423820310224077,
2021-05-31,2021-08-30,-297755,345648,,41945881.0,-0.861439962042309,0.008240332346339323
2022-05-31,2022-08-25,-182903,184712,0.0,,-0.9902063753302438,
2023-05-31,2023-08-21,1824575,6671959,0.01,,0.27346915651010445,
2024-05-31,2024-08-15,2003134,7695786,0.21,,0.26028972219341856,
2025-05-31,2025-08-21,854988,9659708,0.1,,0.08851075001438967,
2026-05-31,2026-08-18,2699349,13144217,0.33,,0.20536400152249465,
