fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-04-30,2012-07-26,-9480000,86567000,,,,8679000,2884000,-0.1095105525200134,,5795000,,
2011-04-30,2012-07-26,-7561000,78946000,,,127668000.0,5901000,1012000,-0.09577432675499709,,4889000,,1.6171560307045323
2012-04-30,2012-07-26,-1143000,74645000,,,128394000.0,5812000,1073000,-0.015312479067586577,,4739000,,1.7200616250251188
2013-04-30,2013-07-16,-2838000,72541000,,,123315000.0,-11614000,1049000,-0.03912270302311796,,-12663000,,1.6999352090541902
2014-04-30,2014-07-29,-2939000,79301000,,,105647000.0,-6572000,1411000,-0.03706132331244247,,-7983000,,1.3322278407586285
2015-04-30,2015-07-29,11320000,93321000,,,45408000.0,9962000,1127000,0.12130174344466947,,8835000,,0.48657858359854694
2016-04-30,2016-07-29,-10224000,82844000,,,37784000.0,3467000,798000,-0.1234126792525711,,2669000,,0.45608613780116847
2017-04-30,2017-07-18,-15000,84833000,,,21843000.0,10437000,249000,-0.0001768179835677154,,10188000,,0.2574823476713072
2018-04-30,2018-07-20,238000,86607000,,,19258000.0,531000,139000,0.002748045769972404,,392000,,0.22236077915180066
2019-04-30,2019-07-26,1527000,89846000,,,10684000.0,592000,8000,0.016995748280390893,,584000,,0.1189145871825123
2020-04-30,2020-07-27,-5903000,84637000,-0.73,,12029000.0,765000,9000,-0.06974491061828751,,756000,,0.1421246027151246
2021-04-30,2021-07-27,7392000,88889000,0.95,,8477000.0,12609000,5000,0.08315989605012994,,12604000,,0.09536613079233651
2022-04-30,2022-07-21,15862000,83162000,2.21,,11755000.0,15476000,1287000,0.1907361535316611,,14189000,,0.14135061686828118
2023-04-30,2023-07-25,21790000,111000000,4.11,,4895000.0,6389000,131000,0.1963063063063063,,6258000,,0.0440990990990991
2024-04-30,2024-07-23,6690000,118050000,1.25,,4780000.0,10714000,457000,0.05667090216010165,,10257000,,0.04049131723845828
2025-04-30,2025-07-25,12716000,129961000,2.37,,3815000.0,10242000,583000,0.09784473803679565,,9659000,,0.029354960334254124
2026-04-30,2026-07-24,10288000,140743000,1.91,,4035000.0,12878000,102000,0.07309777395678649,,12776000,,0.028669276624769972
