fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-09-30,2011-11-28,58982000,388815000,0.92,,0.1516968223962553,
2011-09-30,2011-11-28,128352000,518009000,1.97,,0.24777947873492545,
2012-09-30,2012-11-21,136789000,648666000,2.08,,0.21087740069619804,
2013-09-30,2013-11-22,-2215000,631956000,-0.03,,-0.0035049908537936186,
2014-09-30,2014-11-13,31361000,642889000,0.46,,0.04878136039036288,
2015-09-30,2015-11-05,14221000,632045000,0.21,,0.022499980222927166,
2016-09-30,2016-11-29,-69476000,553690000,-1.01,,-0.12547815564666148,
2017-09-30,2017-11-17,62612000,607644000,0.89,,0.10304059613852848,
2018-09-30,2018-11-29,116575000,717832000,1.64,,0.1623987228209386,
2019-09-30,2019-12-17,437416000,1138954000,6.04,,0.3840506289103862,
2020-09-30,2020-11-18,64853000,1213614000,0.88,,0.05343791353758279,
2021-09-30,2021-11-24,110747000,1325334000,1.49,,0.0835615776853231,
2022-09-30,2022-11-25,2132859000,3363386000,28.48,,0.6341404168299446,
2023-09-30,2023-11-21,-14257000,2534500000,-0.22,,-0.0056251726178733474,
2024-09-30,2024-11-27,-164170000,1768967000,-3.09,,-0.09280557523119425,
2024-12-31,2025-12-04,-10992000,1720169000,-0.25,,-0.006390069812907918,
2025-03-31,2025-12-04,-58653000,1695451000,-1.29,,-0.034594335076625626,
2025-06-30,2025-12-04,-106640000,1673021000,-2.33,,-0.06374098113532346,
2025-09-30,2025-12-04,-55763000,1726986000,-1.22,,-0.032289202112813886,
