fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-03-31,2012-05-30,25419000,509583000,0.22,,0.04988196231035965,
2011-03-31,2012-05-30,84694000,907250000,0.66,,0.09335243868834389,
2012-03-31,2012-05-30,239955000,1185185000,1.7,,0.2024620628846973,
2013-03-31,2013-05-23,219058000,226793000,1.45,,0.9658940090743542,
2014-03-31,2014-05-22,232188000,171636000,1.54,,1.3527931203244075,
2015-03-31,2015-05-21,232569000,186498000,1.52,,1.2470321397548498,
2016-03-31,2016-05-19,294094000,408488000,1.94,,0.7199575018115587,
2017-03-31,2017-05-22,252490000,573591000,1.67,,0.4401917045420866,
2018-03-31,2018-05-29,305111000,554628000,2.05,,0.550118277476074,
2019-03-31,2019-05-28,418529000,675366000,2.91,,0.6197069440866138,
2020-03-31,2020-05-26,482603000,856356000,3.41,,0.5635541760669628,
2021-03-31,2021-05-21,608958000,1071176000,4.37,,0.568494813177293,
2022-03-31,2022-05-20,466740000,1046070000,3.44,,0.44618428977028307,
2023-03-31,2023-05-26,271791000,992002000,2.03,,0.27398231051953525,
2024-03-31,2024-05-24,605706000,1046562000,4.59,,0.5787578757875788,
2025-03-31,2025-05-23,935000000,1003000000,7.25,,0.9322033898305084,
2026-03-31,2026-05-22,851000000,1105000000,6.9,,0.7701357466063349,
