fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-15,32609000,430750000,2.09,,0.07570284387695879,
2010-12-31,2012-03-15,42309000,458594000,2.7,,0.0922580757707253,
2011-12-31,2012-03-15,45621000,483041000,2.93,,0.09444539904480158,
2012-12-31,2013-03-18,51900000,519567000,3.36,,0.09989087066730566,
2013-12-31,2014-03-14,54317000,556997000,3.49,,0.09751758088463672,
2014-12-31,2015-03-13,63887000,609314000,4.04,,0.10485070095221839,
2015-12-31,2016-03-11,66170000,655510000,4.17,,0.10094430290918521,
2016-12-31,2017-03-07,70674000,711094000,4.44,,0.0993877040166279,
2017-12-31,2018-03-01,86439000,775629000,2.65,,0.11144374436747466,
2018-12-31,2019-02-26,125814000,902789000,3.76,,0.13936146762975624,
2019-12-31,2020-02-28,134879000,1004989000,4.05,,0.13420942915793108,
2020-12-31,2021-02-26,99586000,1067885000,3.0,,0.0932553598936215,
2021-12-31,2022-02-25,167630000,1171734000,5.03,,0.1430614798239191,
2022-12-31,2023-02-24,193100000,1250836000,5.77,,0.15437675282770882,
2023-12-31,2024-02-27,212465000,1433891000,6.34,,0.14817374542416403,
2024-12-31,2025-02-28,216354000,1621187000,6.44,,0.13345406791443554,
2025-12-31,2026-02-26,240610000,1854125000,7.11,,0.12977010719342008,
