fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-13,-35764000,405128000,-16.31,,,75109000,-8865000,-0.08827827254596078,,83974000,,
2010-12-31,2012-03-13,-61896000,511472000,-7.21,,3894610000.0,114519000,-2167000,-0.12101542215409641,,116686000,,7.614512622391842
2011-12-31,2012-03-13,5457000,532450000,-0.15,17519132.0,3724862000.0,101313000,-3587000,0.010248849657244812,30.392487481685738,104900000,5.987739575225531,6.995702882899803
2012-12-31,2013-03-14,64882000,506919000,3.16,,3758645000.0,81415000,5613000,0.1279928351472326,,75802000,,7.414685580931076
2013-12-31,2014-03-04,46555000,538972000,2.4,,3849194000.0,95366000,8601000,0.08637739993914341,,86765000,,7.141732780181531
2014-12-31,2015-03-16,54165000,583624000,2.79,,4140275000.0,98066000,5935000,0.09280804079338752,,92131000,,7.094079407289625
2015-12-31,2016-02-29,45222000,1300059000,1.89,,8496239000.0,15369000,12072000,0.03478457516158882,,3297000,,6.535271860738628
2016-12-31,2017-02-27,85385000,1305710000,2.52,,8487958000.0,-76688000,16239000,0.06539354067901755,,-92927000,,6.500645625751507
2017-12-31,2018-02-23,60776000,1272626000,1.84,,8490583000.0,346702000,12244000,0.047756371471272784,,334458000,,6.671703234100199
2018-12-31,2019-02-26,136515000,1478595000,4.15,,10392722000.0,30775000,23094000,0.0923275136193481,,7681000,,7.028782053232968
2019-12-31,2020-02-21,146278000,1594034000,4.18,,11009997000.0,148874000,24700000,0.0917659221823374,,124174000,,6.907002610985713
2020-12-31,2021-02-23,115928000,1666264000,3.26,,13365359000.0,125386000,12803000,0.06957360898393052,,112583000,,8.02115331063985
2021-12-31,2022-02-24,201048000,1690327000,5.76,,15114545000.0,301578000,10493000,0.11894029971715532,,291085000,,8.941787594944646
2022-12-31,2023-02-21,195378000,1456432000,5.67,,14376999000.0,238051000,14724000,0.13414838454524483,,223327000,,9.871383627934568
2023-12-31,2024-02-23,183624000,1652691000,5.33,,14017700000.0,257199000,14651000,0.11110606882956342,,242548000,,8.481742806126492
2024-12-31,2025-02-26,168898000,1774326000,4.88,,14425711000.0,293187000,13747000,0.0951899481831411,,279440000,,8.130248330915514
2025-12-31,2026-02-25,195382000,1946297000,5.64,,14408191000.0,257464000,9514000,0.10038652888022742,,247950000,,7.402873764898163
