fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-29,-11509000,3279000,,,2156000,-4277000.0,1069000.0,-3.509911558401952,,-5346000.0,,0.6575175358340958
2011-12-31,2012-03-29,9662000,12978000,,,756000,-3087000.0,137000.0,0.7444906765295115,,-3224000.0,,0.05825242718446602
2012-12-31,2013-03-22,305000,13289000,,,12000,-310000.0,0.0,0.02295131311611107,,-310000.0,,0.000903002483256829
2013-12-31,2014-03-24,19000,13310000,,,18000,27000.0,,0.0014274981217129977,,,,0.00135236664162284
2014-12-31,2015-03-24,234000,13544000,,,1000,,,0.017277023036030716,,,,7.383343177790904e-05
2015-12-31,2016-03-25,322000,13866000,,,10000,-7023000.0,125000.0,0.0232222703014568,,-7148000.0,,0.0007211885186787826
2016-12-31,2017-03-30,-10310000,20582000,,,1500000,-5522000.0,,-0.5009231367214071,,,,0.07287921484792537
2017-12-31,2018-03-16,-12308000,11125000,,,2413000,-8671000.0,136000.0,-1.1063370786516853,,-8807000.0,,0.21689887640449437
2018-12-31,2019-04-02,-13987000,3792000,,,2625000,-11069000.0,66000.0,-3.6885548523206753,,-11135000.0,,0.692246835443038
2019-12-31,2020-04-09,-14709000,2370000,,,5308000,-9445000.0,146000.0,-6.206329113924051,,-9591000.0,,2.239662447257384
2020-12-31,2021-03-30,-15004000,19176000,,,4248000,-12357000.0,32000.0,-0.7824363788068419,,-12389000.0,,0.22152690863579474
2021-12-31,2022-03-29,-12623000,10375000,-0.75,,5343000,-10366000.0,116000.0,-1.2166746987951806,,-10482000.0,,0.5149879518072289
2022-12-31,2023-03-29,-11907000,4892000,-0.67,,4901000,-10561000.0,70000.0,-2.4339738348323796,,-10631000.0,,1.0018397383483237
2023-12-31,2024-03-27,-11571000,-1603000,-0.55,,4590000,-9974000.0,12000.0,7.218340611353712,,-9986000.0,,
2024-12-31,2025-03-26,-7946000,837000,-2.9,,2887000,-8026000.0,6000.0,-9.493428912783752,,-8032000.0,,3.4492234169653524
2025-12-31,2026-03-24,-8228000,895000,-1.23,,2518000,-7436000.0,7000.0,-9.193296089385475,,-7443000.0,,2.8134078212290503
