fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2016-12-31,2019-03-19,5912000,78063000,1.09,,,6318000,,0.07573370226611839,,,,
2017-12-31,2019-03-19,5260000,118635000,0.81,,1127159000.0,9328000,,0.044337674379399,,,,9.501066295781177
2018-12-31,2019-03-19,14493000,200753000,1.5,,1277642000.0,6237000,,0.07219319262974899,,,,6.364248604005918
2019-12-31,2020-03-16,17318000,254220000,1.47,,1739957000.0,6956000,1399000.0,0.06812209896939658,,5557000.0,,6.844296278813626
2020-12-31,2021-03-23,13726000,252591000,1.15,,1943075000.0,9997000,3215000.0,0.054340811826232925,,6782000.0,,7.69257416139134
2021-12-31,2022-03-31,20691000,262607000,1.9,,2088090000.0,10429000,1309000.0,0.07879074053623857,,9120000.0,,7.951387434455289
2022-12-31,2023-03-31,26987000,317149000,2.06,,2196185000.0,39612000,843000.0,0.0850924959561594,,38769000.0,,6.924773529161372
2023-12-31,2024-03-15,27425000,312869000,2.27,,2239091000.0,30802000,2123000.0,0.08765649521045549,,28679000.0,,7.1566406387337835
2024-12-31,2025-03-14,23614000,324366000,2.1,,2340142000.0,30357000,1701000.0,0.0728004784718497,,28656000.0,,7.214510768699555
2025-12-31,2026-03-16,23931000,338554000,2.18,,2255123000.0,31831000,1746000.0,0.07068591716535619,,30085000.0,,6.661043733052925
