fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2013-12-31,2016-03-21,4785000,71923000,0.87,,0.06652948291923307,
2014-12-31,2016-03-21,4033000,78845000,0.72,,0.0511509924535481,
2015-12-31,2016-03-21,4096000,112449000,0.59,,0.03642540173767664,
2016-12-31,2017-03-20,5111000,113559000,0.7,,0.04500744106587765,
2017-12-31,2018-03-21,4848000,179935000,0.61,,0.02694306277266791,
2018-12-31,2019-03-22,14091000,260058000,1.22,,0.05418406663128994,
2019-12-31,2020-03-12,23772000,285097000,1.74,,0.08338214712887193,
2020-12-31,2021-03-05,29994000,409963000,1.64,,0.07316270004854096,
2021-12-31,2022-03-01,52136000,433368000,2.53,,0.12030422181610087,
2022-12-31,2023-03-02,54255000,580481000,2.32,,0.09346559146638736,
2023-12-31,2024-03-01,71043000,644259000,2.59,,0.11027086932429349,
2024-12-31,2025-03-07,65107000,799466000,2.26,,0.08143810993838387,
2025-12-31,2026-02-26,87861000,896883000,2.79,,0.09796261050772509,
