fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-15,21162000,236917000,0.24,,1045272000,58912000.0,29106000,0.08932242093222521,,29806000.0,,4.411975501969044
2011-12-31,2012-03-15,20137000,316654000,0.17,,904218000,85344000.0,27190000,0.06359307003859102,,58154000.0,,2.8555394847372844
2012-12-31,2013-03-12,23864000,334292000,0.16,,1132688000,171200000.0,36759000,0.07138669187416989,,134441000.0,,3.3883191939980617
2013-12-31,2014-02-28,70924000,464368000,0.36,,1309698000,166366000.0,22988000,0.1527323157495779,,143378000.0,,2.8203881404403406
2014-12-31,2015-03-02,4135000,401516000,0.02,,2109704000,,13727000,0.010298468803235736,,,,5.2543460285517885
2015-12-31,2016-02-29,126788000,651123000,0.5,,2691739000,,37626000,0.1947220417647664,,,,4.133994652316075
2016-12-31,2017-02-28,102477000,841863000,0.36,,2302085000,,52659000,0.12172645668000613,,,,2.734512622600114
2017-12-31,2018-02-22,51475000,633886000,0.17,,4270974000,,35951000,0.0812054533465008,,,,6.737763572629778
2018-12-31,2019-03-01,197520000,768373000,,,2544877000,,24528000,0.2570626505616413,,,,3.312033348386786
2019-12-31,2020-02-28,55707000,685826000,0.13,,3148745000,241100000.0,46665000,0.0812261419077142,,194435000.0,,4.5911718132587565
2020-12-31,2021-03-01,48908000,748939000,-0.01,,3120397000,302613000.0,30829000,0.06530304871291254,,271784000.0,,4.166423433684185
2021-12-31,2022-02-28,124007000,619752000,0.32,,2660090000,417185000.0,10112000,0.20009132685332198,,407073000.0,,4.292184615781797
2022-12-31,2023-03-01,48712000,669645000,0.13,,2326244000,224362000.0,10591000,0.07274302055566756,,213771000.0,,3.4738465903575775
2023-12-31,2024-02-29,36265000,885083000,0.07,,2277781000,405203000.0,14924000,0.04097355841203593,,390279000.0,,2.57352248320214
2024-12-31,2025-03-03,126988000,898507000,0.25,,2512728000,315350000.0,29624000,0.141332232247495,,285726000.0,,2.796559180952402
2025-12-31,2026-03-02,154962000,972483000,0.31,,3266647000,394353000.0,21488000,0.159346744364683,,372865000.0,,3.3590787705286367
