fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-30,2014-03-31,-1749857,1683281,0.0,,35459287,3018811,,-1.0395513286254643,,,,21.065577880342023
2013-12-29,2014-03-31,8298269,8102674,1.47,,50519827,2281999,,1.0241395618286013,,,,6.234957373331323
2014-12-28,2015-03-02,-428864,16363292,-0.08,,37409276,5681171,,-0.02620890710744513,,,,2.286170533411003
2015-12-27,2016-03-07,5347408,25928424,0.73,,58471133,11791914,,0.2062372938671475,,,,2.2550978416582512
2016-12-25,2017-03-06,6882407,40488454,0.82,,40725680,9533840,,0.16998443556279033,,,,1.0058591024493058
2017-12-31,2018-03-08,5848434,39134679,0.65,,65498210,18063723,,0.14944377083046984,,,,1.6736616135269693
2018-12-30,2019-03-12,17549541,65702013,1.79,,34566790,18426475,,0.26710811737229423,,,,0.5261146260465414
2019-12-29,2020-03-12,13246990,68456990,1.28,,47129054,17953844,,0.1935082158885455,,,,0.6884476515838631
2020-12-27,2021-03-11,1441468,65457752,0.14,,64820516,22256950,,0.02202134897635959,,,,0.9902649269104139
2021-12-26,2022-03-10,14109478,76592184,1.35,,71701782,6663454,,0.18421563745982228,,,,0.9361501168317644
2023-01-01,2023-03-16,25360873,100736533,2.42,,93936632,-7122323,,0.25175447521109345,,,,0.9324981633028804
2023-12-31,2024-03-15,-10223000,85536000,-0.95,,92981000,20386000,,-0.11951692854470632,,,,1.0870393752338197
2024-12-29,2025-03-17,-3338000,82269000,-0.31,,67842000,24379000,,-0.040574213859412414,,,,0.8246362542391423
2025-12-28,2026-03-30,-11430000,48105000,-1.04,,9732000,142000,,-0.23760523854069224,,,,0.2023074524477705
