fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-29,2012-02-28,13038000,252979000,0.48,,0.051537874685250555,
2010-12-28,2012-02-28,23162000,287826000,0.82,,0.08047222974991836,
2012-01-03,2012-02-28,31570000,332449000,1.08,,0.094961934010931,
2013-01-01,2013-02-25,31409000,371834000,1.09,,0.08447048951951677,
2013-12-31,2014-02-25,21022000,401436000,0.73,,0.05236700246116442,
2014-12-30,2015-02-26,27397000,348689000,0.97,,0.07857144905632239,
2015-12-29,2016-02-23,45325000,316483000,1.73,,0.14321464344056395,
2017-01-03,2017-02-28,45557000,274897000,1.88,,0.1657238893112693,
2018-01-02,2018-02-26,44780000,258729000,2.06,,0.17307684874907722,
2019-01-01,2019-02-26,50810000,309221000,2.35,,0.16431613635555153,
2019-12-31,2020-02-25,45238000,290287000,2.2,,0.15583887669788865,
2020-12-29,2021-03-01,-57885000,293788000,-2.74,,-0.1970298310346236,
2021-12-28,2022-02-25,-3606000,333771000,-0.16,,-0.010803814591441438,
2023-01-03,2023-02-28,4076000,345515000,0.17,,0.011796882913911119,
2024-01-02,2024-02-27,19660000,365761000,0.82,,0.05375094665642318,
2024-12-31,2025-02-26,16687000,370017000,0.7,,0.04509792793304091,
2025-12-30,2026-03-02,48808000,366193000,2.16,,0.13328490713913155,
