fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2014-05-03,2016-06-29,35106000,749637000,0.88,,0.04683066604236451,
2015-05-02,2016-06-29,19132000,726669000,0.33,,0.026328355826380375,
2016-04-30,2016-06-29,84000,708386000,0.0,,0.0001185794185655843,
2017-04-29,2017-07-12,5361000,713708000,0.11,,0.00751147528120744,
2018-04-28,2018-06-20,-252566000,467963000,-5.4,,-0.5397136098366752,
2019-04-27,2019-06-25,-24374000,450628000,-0.52,,-0.05408896029540996,
2020-05-02,2020-07-14,-38250000,417751000,-0.8,,-0.09156171978044338,
2021-05-01,2021-06-30,-131787000,301034000,-2.65,,-0.43778111442561307,
2021-07-31,2022-06-29,-43628000,249290000,-0.85,,-0.17500902563279713,
2021-10-30,2022-06-29,-21100000,272189000,-0.41,,-0.07751966464478727,
2022-01-29,2022-06-29,-57901000,237460000,-1.12,,-0.24383475111597744,
2022-04-30,2022-06-29,-68857000,228374000,-1.33,,-0.3015098040932856,
2023-04-29,2023-07-31,-101862000,130751000,-1.94,,-0.7790533150798082,
2023-07-29,2024-07-01,-50388000,100889000,-19.03,,-0.49943997859033196,
2023-10-28,2024-07-01,24180000,130031000,9.11,,0.185955656728011,
2024-01-27,2024-07-01,-9639000,121507000,-3.6,,-0.0793287629519287,
2024-04-27,2024-07-01,-63211000,70579000,-23.75,,-0.8956063418297228,
2024-07-27,2025-12-23,-103925000,149779000,-7.69,,-0.6938556139378684,
2024-10-26,2025-12-23,-60763000,211436000,-3.04,,-0.2873824703456365,
2025-01-25,2025-12-23,-42821000,292949000,-1.82,,-0.14617220062195127,
2025-05-03,2025-12-23,-65825000,272188000,-2.5,,-0.2418365247549488,
2026-05-02,2026-07-09,16872000,294439000,0.49,,0.05730219162543006,
