fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2014-01-31,2016-03-30,-168557000,-332512000,,,0.5069200510056779,
2015-01-31,2016-03-30,-168227000,268129000,,,-0.627410686647099,
2016-01-31,2016-03-30,-202948000,137901000,,,-1.4716934612511874,
2017-01-31,2017-03-24,-151787000,74732000,,,-2.0310844082856074,
2018-01-31,2018-03-22,-154960000,14968000,,,-10.352752538749332,
2019-01-31,2019-03-20,-134612000,31405000,,,-4.286323833784429,
2020-01-31,2020-03-19,-144348000,22357000,,,-6.456501319497249,
2021-01-31,2021-03-19,-43433000,151065000,-0.28,,-0.28751199814649325,
2022-01-31,2022-03-16,-41459000,-395087000,-0.35,,0.10493638110087146,
2023-01-31,2023-03-13,26783000,-523851000,0.06,,-0.051127133478794544,
2024-01-31,2024-03-11,129032000,-431062000,0.67,,-0.2993351304452724,
2025-01-31,2025-03-10,244621000,-296962000,1.36,,-0.8237451256389706,
2026-01-31,2026-03-09,115383000,-299278000,0.58,,-0.3855378611190933,
