fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2016-12-31,2018-04-02,-2061983,2114255,,,-0.9752763975963165,
2017-12-31,2018-04-02,-7297109,10907628,,,-0.6689913700760606,
2018-12-31,2019-03-28,-7177883,7968059,,,-0.9008320596019683,
2019-12-31,2020-05-13,-9402078,-647653,,,14.517153475703811,
2020-12-31,2021-03-31,-16152000,44467000,-0.39,,-0.3632356579036139,
2021-12-31,2022-04-13,-13802000,53301000,-0.23,,-0.2589444850940883,
2022-12-31,2023-03-17,-3743000,51893000,-0.07,,-0.07212918890794519,
2023-12-31,2024-03-14,-39156000,16751000,-4.28,,-2.337532087636559,
2024-12-31,2025-03-28,-28335000,-12896000,-15.11,,2.1971929280397022,
2025-12-31,2026-04-15,-23810000,1255000,-39.74,,-18.97211155378486,
