fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-12-31,2010-02-26,-27684000000,141630000000,-0.19546706206312223
2009-12-31,2010-02-26,-1606000000,152700000000,-0.01051735428945645
2010-12-31,2011-02-25,10602000000,163468000000,0.06485673036924658
2011-12-31,2012-02-24,11067000000,177806000000,0.06224199408343926
2012-12-31,2013-03-01,7541000000,189049000000,0.03988912927336299
2013-12-31,2014-03-03,13673000000,204339000000,0.06691331561767455
2014-12-31,2015-02-25,7313000000,210534000000,0.03473548215490135
2015-12-31,2016-02-26,17242000000,221857000000,0.07771672744155018
2016-12-31,2017-02-24,14912000000,225120000000,0.06624022743425728
2017-12-31,2018-02-23,-6798000000,200740000000,-0.03386470060775132
2018-12-31,2019-02-22,18045000000,196220000000,0.09196310263989399
2019-12-31,2020-02-21,19401000000,193242000000,0.10039742913031328
2020-12-31,2021-02-26,11047000000,199442000000,0.055389536807693464
2021-12-31,2022-02-28,21952000000,201972000000,0.10868833303626245
2022-12-31,2023-02-27,14845000000,201189000000,0.0737863402074666
2023-12-31,2024-02-23,9228000000,205453000000,0.044915382106856555
2024-12-31,2025-02-21,12682000000,208598000000,0.060796364298794814
2025-12-31,2026-02-20,14306000000,212291000000,0.06738863164241536
