fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-05-28,2012-08-06,60839000,418906000,2.54,,221966000,62310000.0,20742000,0.1452330594453171,,41568000.0,,0.5298706631081913
2012-06-02,2012-08-06,89735000,479125000,3.75,,246988000,98058000.0,26845000,0.18728932950691365,,71213000.0,,0.5154980433081138
2013-06-01,2013-08-05,50423000,517732000,2.1,,227583000,57538000.0,26290000,0.09739208702571987,,31248000.0,,0.4395768467083356
2014-05-31,2014-07-28,109207000,593833000,4.52,,216916000,,59188000,0.18390187140155564,,,,0.3652811480668808
2015-05-30,2015-07-20,161254000,703564000,3.33,,224091000,,82263000,0.22919592247471446,,,,0.31850833754995994
2016-05-28,2016-07-18,316041000,915275000,6.53,,194404000,,76125000,0.3452962224468056,,,,0.21239955204719893
2017-06-03,2017-07-24,-74278000,842687000,-1.54,,188601000,,66657000,-0.08814423386144558,,,,0.22380907739172434
2018-06-02,2018-07-23,125932000,953333000,2.6,,194765000,200415000.0,19671000,0.13209654968410828,,180744000.0,,0.20429902248217569
2019-06-01,2019-07-22,54229000,986624000,1.12,,166472000,115085000.0,67989000,0.054964201154644524,,47096000.0,,0.16872891800726517
2020-05-30,2020-07-20,18391000,1009675000,0.38,,197019000,73609000.0,124178000,0.018214772080124793,,-50569000.0,,0.195131106544185
2021-05-29,2021-07-19,2060000,1012781000,0.04,,216393000,26136000.0,95069000,0.0020340034025124877,,-68933000.0,,0.21366218363101203
2022-05-28,2022-07-19,132650000,1104551000,2.72,,323144000,126209000.0,72399000,0.12009404726445407,,53810000.0,,0.2925568851053505
2023-06-03,2023-07-25,758024000,1611081000,15.52,,344942000,863010000.0,136569000,0.4705064487756978,,726441000.0,,0.21410593260053343
2024-06-01,2024-07-23,277888000,1800147000,5.69,,387718000,451398000.0,147116000,0.1543696153703003,,304282000.0,,0.21538129941610323
2025-05-31,2025-07-22,1220048000,2560624000,24.95,,518604000,1224734000.0,161255000,0.4764651116290404,,1063479000.0,,0.202530320734321
2026-05-30,2026-07-22,316682000,2632732000,6.63,,467038000,479753000.0,151220000,0.12028645528675155,,328533000.0,,0.17739671185673286
