fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-02-24,-26188000,-339358000,,,,1390000,5064000,0.07716924310020686,,-3674000,,
2010-12-31,2012-02-24,-19453000,195303000,,,62253000.0,9176000,5614000,-0.09960420474851897,,3562000,,0.318750864042027
2011-12-31,2012-02-24,-52550000,277417000,,,82122000.0,14589000,7355000,-0.1894260265232484,,7234000,,0.2960236755498041
2012-12-31,2013-02-22,-28326000,269075000,,,108822000.0,27678000,10179000,-0.10527176437796154,,17499000,,0.4044299916380191
2020-12-31,2023-02-21,33484000,280325000,0.54,,147027000.0,51409000,7819000,0.1194470703647552,,43590000,,0.5244876482654062
2021-12-31,2023-02-21,238378000,568428000,3.51,,173604000.0,56793000,10463000,0.41936357814885966,,46330000,,0.3054107116468576
2022-12-31,2023-02-21,41010000,679567000,0.6,,205268000.0,27183000,14067000,0.060347250528645445,,13116000,,0.3020570451478662
2023-12-31,2024-02-23,29325000,718982000,0.42,,222883000.0,56251000,17855000,0.040786834719088935,,38396000,,0.30999802498532647
2024-12-31,2025-02-21,-29747000,780940000,-0.45,,158327000.0,68400000,18054000,-0.03809127461776833,,50346000,,0.2027390068379133
2025-12-31,2026-02-20,17884000,859219000,0.26,,199303000.0,134953000,19435000,0.020814251081505412,,115518000,,0.23195832494393165
