fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2015-12-31,2018-03-14,-5889000,24257000,,,,,665000,-0.24277528136208104,,,,
2016-12-31,2018-03-14,-12086000,13119000,,,3504000.0,-9237000.0,10424000,-0.9212592423202988,,-19661000.0,,0.26709352847015777
2017-12-31,2018-03-14,-25980000,57476000,,,14691000.0,-12785000.0,779000,-0.4520147539842717,,-13564000.0,,0.25560233836731855
2018-12-31,2019-03-12,-27897000,93397000,,,25394000.0,-20252000.0,1847000,-0.2986926774949945,,-22099000.0,,0.2718931014914826
2019-12-31,2020-03-05,-39612000,62508000,,,25590000.0,-31951000.0,2969000,-0.6337108850067191,,-34920000.0,,0.4093875983874064
2020-12-31,2021-03-04,-44836000,36875000,-1.32,,26452000.0,-43672000.0,1786000,-1.2158915254237288,,-45458000.0,,0.7173423728813559
2021-12-31,2022-03-03,-29199000,14132000,-0.78,,23062000.0,-18811000.0,497000,-2.0661619020662325,,-19308000.0,,1.6318992357769602
2022-12-31,2023-03-02,-16891000,7233000,-0.37,,15188000.0,-19364000.0,1520000,-2.3352689064012164,,-20884000.0,,2.099820268215125
2023-12-31,2024-03-21,-267627000,293470000,-25.95,,206117000.0,-46210000.0,4321000,-0.9119398916413943,,-50531000.0,,0.7023443622857533
2024-12-31,2025-03-20,-251388000,92157000,-10.83,,252238000.0,-58043000.0,808000,-2.7278231713271914,,-58851000.0,,2.7370465618455464
2025-12-31,2026-03-17,-127085000,21829000,-2.78,,283218000.0,-50591000.0,578000,-5.821842503092217,,-51169000.0,,12.974391864034082
