fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-09,-373400000,-44700000,,,,107600000,,8.353467561521253,,,,
2010-12-31,2012-03-09,-29200000,-43500000,,,,423700000,,0.671264367816092,,,,
2011-12-31,2012-03-09,17100000,-7300000,0.12,,,214700000,,-2.3424657534246576,,,,
2012-12-31,2013-03-08,119000000,136500000,0.82,,,317400000,,0.8717948717948718,,,,
2013-12-31,2014-03-05,132800000,711700000,0.84,,,366300000,47100000.0,0.18659547562175074,,319200000.0,,
2014-12-31,2015-02-26,244900000,936500000,1.42,,,435000000,55000000.0,0.2615056059797117,,380000000.0,,
2015-12-31,2016-02-25,403100000,1095900000,2.35,,,277500000,90100000.0,0.36782553152659914,,187400000.0,,
2016-12-31,2017-03-01,424400000,1045500000,2.56,,5902900000.0,604000000,63500000.0,0.4059301769488283,,540500000.0,,5.646006695361072
2017-12-31,2018-03-01,523000000,982900000,3.31,,5973700000.0,777700000,81100000.0,0.532098891036728,,696600000.0,,6.077627429036524
2018-12-31,2019-02-27,643000000,975200000,4.19,,,905900000,86100000.0,0.6593519278096801,,819800000.0,,
2019-12-31,2020-02-28,736800000,960300000,4.99,,,1027200000,236300000.0,0.767260231177757,,790900000.0,,
2020-12-31,2021-02-26,788500000,1297100000,5.45,,,1314300000,158000000.0,0.6078945339603732,,1156300000.0,,
2021-12-31,2022-02-28,988600000,705700000,7.04,,,784600000,100000000.0,1.400878560294743,,684600000.0,,
2022-12-31,2023-02-24,1114500000,1603300000,8.13,,,1335900000,127800000.0,0.6951287968564835,,1208100000.0,,
2023-12-31,2024-02-26,1104300000,2042500000,8.1,,,1598700000,148200000.0,0.5406609547123623,,1450500000.0,,
2024-12-31,2025-02-21,1077800000,2352700000,7.97,,,1277300000,122600000.0,0.45811195647553876,,1154700000.0,,
2025-12-31,2026-02-20,1066600000,2606100000,8.08,,,1205200000,117100000.0,0.4092705575380837,,1088100000.0,,
