fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-05,-20289000,-144845000,,,,-8786000,10697000,0.14007387207014393,,-19483000,,
2010-12-31,2012-03-05,-8541000,107361000,,,,-16383000,6990000,-0.07955402799899405,,-23373000,,
2011-12-31,2012-03-05,-16550000,102690000,,,,-490000,10736000,-0.16116467036712437,,-11226000,,
2012-12-31,2013-04-02,-30857000,78440000,,,,-11892000,2933000,-0.3933834778174401,,-14825000,,
2013-12-31,2014-03-13,-41303000,41483000,,,,-22998000,1175000,-0.9956608731287515,,-24173000,,
2014-12-31,2015-03-06,-19071000,26311000,,,,321000,302000,-0.7248299190452663,,19000,,
2015-12-31,2016-03-08,-7581000,22879000,,,21768000.0,-433000,1199000,-0.3313518947506447,,-1632000,,0.9514401853227851
2016-12-31,2017-03-09,-8558000,19099000,,,16549000.0,-2701000,888000,-0.44808628724016963,,-3589000,,0.8664851562909053
2017-12-31,2018-03-15,-22996000,24547000,,,29078000.0,-8763000,985000,-0.9368150894202958,,-9748000,,1.1845846742982848
2018-12-31,2019-03-01,-10878000,56306000,,,22977000.0,-14094000,2768000,-0.19319433097716052,,-16862000,,0.40807373992114515
2019-12-31,2020-02-28,-11935000,105517000,-0.21,,43556000.0,-12560000,3730000,-0.11310973587194481,,-16290000,,0.412786565198025
2020-12-31,2021-03-01,-24010000,170103000,-0.4,,51543000.0,-16464000,3748000,-0.14114977396048276,,-20212000,,0.30301052891483393
2021-12-31,2022-02-28,-21279000,164391000,-0.33,,81992000.0,-14267000,13828000,-0.12944139277697683,,-28095000,,0.49876209768174656
2022-12-31,2023-02-27,-33592000,144797000,-0.51,,105596000.0,11284000,8307000,-0.2319937567767288,,2977000,,0.7292692528160114
2023-12-31,2024-02-28,-76240000,86615000,-1.12,,49946000.0,-52638000,4418000,-0.8802170524735901,,-57056000,,0.5766437684003926
2024-12-31,2025-02-27,-65276000,66927000,-0.89,,82084000.0,-49410000,4305000,-0.975331331151852,,-53715000,,1.226470632181332
2025-12-31,2026-03-11,-43974000,50529000,-0.5,,97268000.0,-19376000,4471000,-0.8702725167725465,,-23847000,,1.9249935680500307
