fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-09-30,2011-11-29,66298000,941298000,0.4,,0.07043253039951217,
2010-09-30,2011-11-29,67840000,961950000,0.41,,0.07052341597796143,
2011-09-30,2011-11-29,38403000,1939529000,0.24,167498133.0,0.019800167978926843,11.57940667911803
2012-09-30,2012-11-29,74513000,1806458000,0.47,,0.041248122015568586,
2013-09-30,2013-11-29,69340000,1632126000,0.48,,0.042484465047428935,
2014-09-30,2014-11-26,77694000,1492882000,0.56,,0.05204296119854081,
2015-09-30,2015-11-25,78093000,1416226000,0.58,,0.055141622876574786,
2016-09-30,2016-11-29,83494000,1392964000,0.63,,0.05993981179700265,
2017-09-30,2017-11-29,84137000,1368313000,0.63,,0.06148958608154713,
2018-09-30,2018-11-29,98927000,1391622000,0.73,,0.07108755107349553,
2019-09-30,2019-11-27,94243000,1336326000,0.68,,0.07052395897408267,
2020-09-30,2020-11-25,64540000,1284859000,0.47,,0.050231192683399505,
2021-09-30,2021-11-24,76082000,1242273000,0.56,,0.061244187066771955,
2022-09-30,2022-11-23,84453000,1096499000,0.62,,0.07702059007805753,
2023-09-30,2023-11-29,-101659000,1044054000,-0.76,,-0.097369484720139,
2024-09-30,2024-11-27,38010000,1032270000,0.29,,0.03682176174837978,
2025-09-30,2025-11-26,68025000,1047677000,0.52,,0.06492936277115943,
