fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-10-31,2010-12-22,-581154000,455838000,-6.37,,-1.2749134560962447,
2010-10-31,2010-12-22,-333514000,159293000,-3.58,,-2.093714099175733,
2011-10-31,2011-12-22,-195521000,13873000,-2.04,,-14.09363511857565,
2012-10-31,2012-12-21,-144021000,-88972000,-1.45,,1.618722744234141,
2013-10-31,2013-12-20,-85431000,-82677000,-0.83,,1.0333103523349905,
2014-10-31,2014-12-19,-40637000,-69615000,-0.38,,0.5837391366803132,
2015-10-31,2015-12-21,11667000,620876000,0.1,,0.01879119179997294,
2016-10-31,2016-12-21,72584000,766341000,0.51,,0.0947150159002324,
2017-10-31,2017-12-22,1261953000,2136342000,7.53,,0.5907073867386402,
2018-10-31,2018-12-21,-344690000,1929334000,-2.49,,-0.17865750564702637,
2019-10-31,2019-12-20,253434000,2172761000,1.61,,0.11664145297158776,
2018-11-03,2020-12-18,-344690000,1929334000,-2.49,,-0.17865750564702637,
2019-11-02,2020-12-18,253434000,2172761000,1.61,,0.11664145297158776,
2020-10-31,2020-12-18,361291000,2509597000,2.32,,0.14396375194901812,
2021-10-30,2021-12-17,500196000,3020018000,3.19,,0.16562682738977053,
2022-10-29,2022-12-16,152902000,2712861000,1.0,,0.056361899854065506,
2023-10-28,2023-12-15,254827000,2848361000,1.71,,0.08946443235250026,
2024-11-02,2024-12-20,83956000,2816138000,0.58,,0.029812459474642224,
2025-11-01,2025-12-12,123338000,2729323000,0.85,,0.04518996102696529,
