fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-09-30,2011-11-30,1180954,19246067,0.09,,0.06136079646818231,
2011-09-30,2011-11-30,6167446,26229171,0.48,,0.2351369015818304,
2012-09-30,2012-12-04,7701194,34685901,0.6,,0.2220266384315633,
2013-09-30,2013-11-21,4733844,40078036,0.36,,0.11811566814301978,
2014-09-30,2014-11-26,5432851,46746634,0.4,,0.11621908435161342,
2015-09-30,2015-11-25,4682008,51279130,0.34,,0.0913043571527052,
2016-09-30,2016-11-22,8013062,62594043,0.59,,0.1280163673083076,
2017-09-30,2017-11-15,3847839,64525120,0.28,,0.05963319401808164,
2018-09-30,2018-11-14,4274547,68874876,0.32,,0.06206250011978243,
2019-09-30,2019-11-15,4566156,74933387,0.34,,0.0609362019095707,
2020-09-30,2020-11-12,7293066,82753278,0.53,,0.08813023696777304,
2021-09-30,2021-11-10,20327380,103824358,1.47,,0.19578623351564572,
2022-09-30,2022-11-23,49362000,147582000,3.55,,0.3344716835386429,
2023-09-30,2023-11-29,32533000,315163000,2.17,,0.10322594974663904,
2024-09-30,2024-11-15,-12453000,275763000,-0.85,,-0.04515834248974663,
2025-09-30,2025-11-25,-8050000,256163000,-0.58,,-0.031425303420087994,
