fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-08-31,2011-10-31,-205344000,1250736000,-1.81,,2452779000,44910000,127121000,-0.1641785316805465,,-82211000,,1.9610685228537437
2011-08-31,2011-10-31,-129617000,1160425000,-1.13,,2522483000,27747000,73215000,-0.11169786931512161,,-45468000,,2.173757890428076
2012-08-31,2012-10-30,207484000,1246368000,1.78,,2194739000,195993000,113853000,0.16647089784076613,,82140000,,1.7609076933939254
2013-08-31,2013-10-28,77315000,1269999000,0.66,,2224646000,147732000,89035000,0.060878000691339126,,58697000,,1.7516911430638922
2014-08-31,2014-10-30,115551000,1348480000,0.97,,2339929000,136940000,101749000,0.08568981371618414,,35191000,,1.735234486236355
2015-08-31,2015-10-30,141634000,1319201000,1.2,,2052952000,313461000,119580000,0.10736347228360196,,193881000,,1.5562086444749512
2016-08-31,2016-10-31,54762000,1367272000,0.47,,1763438000,586865000,163332000,0.04005201598511489,,423533000,,1.2897492232708634
2017-08-31,2017-10-26,46332000,1400757000,0.39,,1574201000,174472000,213120000,0.033076400831835925,,-38648000,,1.1238216193101302
2018-08-31,2018-10-25,138506000,1493397000,1.17,,1834721000,158680000,174655000,0.09274559946216579,,-15975000,,1.2285554343553657
2019-08-31,2019-10-23,198093000,1623861000,1.66,,2134714000,37004000,138836000,0.12198888944312351,,-101832000,,1.3145915814223015
2020-08-31,2020-10-15,279503000,1889201000,2.32,,2192315000,791204000,187618000,0.14794773028386074,,603586000,,1.1604456063701003
2021-08-31,2021-10-14,412865000,2294877000,3.38,,2343562000,228474000,184165000,0.17990724557351004,,44309000,,1.0212146446192978
2022-08-31,2022-10-13,1217262000,3286197000,9.95,,2950598000,700309000,449988000,0.37041662444460877,,250321000,,0.8978761772346576
2023-08-31,2023-10-12,859760000,4120873000,7.25,,2517980000,1344103000,606665000,0.20863540322645227,,737438000,,0.6110307209176308
2024-08-31,2024-10-17,485491000,4299776000,4.14,,2517815000,899708000,324271000,0.11291076558406764,,575437000,,0.5855688761461062
2025-08-31,2025-10-16,84662000,4193066000,0.74,,2978508000,715070000,402821000,0.020190953350126137,,312249000,,0.710341311107433
