fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-02-21,690000000,10954000000,,,43807000000,-89000000,53000000,0.06299068833302902,,-142000000,,3.999178382326091
2011-12-31,2012-02-21,614000000,11557000000,2.27,,43622000000,1702000000,84000000,0.053127974387816905,,1618000000,,3.7745089556113176
2012-12-31,2013-02-21,628000000,12314000000,2.33,269465879.0,46208000000,1250000000,94000000,0.05099886308267013,45.697807995942966,1156000000,4.289968007415143,3.752476855611499
2013-12-31,2014-02-19,937000000,12651000000,3.47,269824832.0,44543000000,1204000000,91000000,0.07406529128132164,46.88597378613396,1113000000,4.124898334042139,3.520907438147182
2014-12-31,2015-02-23,691000000,12794000000,2.55,270015043.0,42772000000,1440000000,71000000,0.05400969204314522,47.38254527544971,1369000000,5.070087891362408,3.3431295919962483
2015-12-31,2016-02-17,479000000,11756000000,1.77,270274361.0,43291000000,1387000000,125000000,0.04074515141204491,43.49654164939456,1262000000,4.669329326432114,3.6824600204151072
2016-12-31,2017-02-15,859000000,11969000000,3.17,270495998.0,43264000000,1416000000,146000000,0.07176873590107778,44.24834411043671,1270000000,4.695078705009159,3.6146712340212215
2017-12-31,2018-02-14,899000000,12244000000,3.3,,44323000000,1254000000,102000000,0.07342371773930088,,1152000000,,3.6199771316563214
2018-12-31,2019-02-13,813000000,11217000000,2.98,,45935000000,1227000000,99000000,0.07247927253276278,,1128000000,,4.095123473299457
2019-12-31,2020-02-11,1000000000,12215000000,3.67,,48397000000,1140000000,26000000,0.08186655751125665,,1114000000,,3.962095783872288
2020-12-31,2021-02-09,690000000,12707000000,2.53,,51319000000,1775000000,23000000,0.05430077909813489,,1752000000,,4.0386401196191075
2021-12-31,2022-02-08,1202000000,12809000000,4.41,,53830000000,1997000000,26000000,0.09384026856116792,,1971000000,,4.202513857443985
2022-12-31,2023-02-07,894000000,8825000000,3.28,,52102000000,2502000000,52000000,0.10130311614730879,,2450000000,,5.9039093484419265
2023-12-31,2024-02-06,1205000000,9893000000,4.43,,54818000000,2285000000,90000000,0.12180329525927423,,2195000000,,5.5410896593551
2024-12-31,2025-02-11,959000000,10513000000,3.52,,55979000000,2571000000,95000000,0.09122039379815466,,2476000000,,5.324740797108342
2025-12-31,2026-02-10,1278000000,11621000000,4.69,,57822000000,2490000000,86000000,0.1099733241545478,,2404000000,,4.9756475346355735
