fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-02-28,12137000,576515000,0.42,,0.021052357701013852,
2010-12-31,2012-02-28,30346000,586563000,1.05,,0.05173527822245863,
2011-12-31,2012-02-28,752000,573071000,0.03,,0.0013122283277290248,
2012-12-31,2013-02-25,40481000,606998000,1.41,,0.06669049980395322,
2013-12-31,2014-02-24,35939000,606319000,1.28,,0.05927407849663296,
2014-12-31,2015-02-23,32192000,581298000,1.16,,0.055379512745614125,
2015-12-31,2016-02-23,30498000,585073000,1.09,,0.05212682861796733,
2016-12-31,2017-02-27,14664000,580576000,0.52,,0.02525767513641625,
2017-12-31,2018-02-26,55487000,631432000,1.97,,0.0878748622179427,
2018-12-31,2019-02-25,40854000,662270000,1.41,,0.06168783124707446,
2019-12-31,2020-02-24,28620000,710467000,0.97,,0.040283362914815185,
2020-12-31,2021-02-22,9517000,709038000,0.32,,0.013422411774827302,
2021-12-31,2022-02-22,62542000,785435000,1.94,,0.07962721294569251,
2022-12-31,2023-02-21,-80582000,745545000,-2.68,,-0.108084689723625,
2023-12-31,2024-02-28,64459000,834222000,2.04,,0.07726840097719792,
2024-12-31,2025-02-18,132423000,962681000,4.25,,0.13755646990020579,
2025-12-31,2026-02-17,47055000,1033097000,1.51,,0.045547513931412056,
