fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-12-31,2010-02-25,-16998000000,55165000000,-11.16,,86600000000,22658000000,,-0.30813015498957674,,,,1.5698359467053384
2009-12-31,2010-02-25,4858000000,62467000000,3.24,,89531000000,12479000000,,0.0777690620647702,,,,1.4332527574559368
2010-12-31,2011-02-23,11358000000,68562000000,7.62,,87205000000,17045000000,,0.16566027828826463,,,,1.2719144715731747
2011-12-31,2012-02-21,12436000000,65224000000,8.97,,87496000000,19646000000,,0.19066601251073226,,,,1.3414693977676928
2012-12-31,2013-02-19,8428000000,47987000000,6.72,,68717000000,13922000000,,0.17563090003542625,,,,1.4319919978327464
2013-12-31,2014-02-25,9156000000,52090000000,7.38,,65565000000,16087000000,,0.17577270109425994,,,,1.258686888078326
2014-12-31,2015-02-24,6869000000,51911000000,5.51,,64266000000,16735000000,,0.13232262911521642,,,,1.238003506000655
2015-12-31,2016-02-23,-4428000000,39762000000,-3.58,,57402000000,7572000000,,-0.11136260751471254,,,,1.4436396559529199
2016-12-31,2017-02-21,-3615000000,34974000000,-2.91,,54546000000,4403000000,,-0.10336249785554984,,,,1.5596157145307943
2017-12-31,2018-02-20,-855000000,30607000000,-0.7,,42561000000,7077000000,,-0.02793478616002875,,,,1.390564250008168
2018-12-31,2019-02-19,6257000000,31939000000,,,37916000000,12934000000,,0.1959046933216444,,,,1.1871379817777639
2019-12-31,2020-02-18,7189000000,34981000000,6.4,,35464000000,11104000000,,0.20551156342014237,,,,1.0138074954975558
2020-12-31,2021-02-16,-2701000000,29849000000,-2.51,,32769000000,4802000000,,-0.09048879359442527,,,,1.097825722804784
2021-12-31,2022-02-17,8079000000,45406000000,6.07,,45255000000,16996000000,,0.17792802713297803,,,,0.9966744483107959
2022-12-31,2023-02-16,18680000000,48003000000,14.57,,45826000000,28314000000,,0.3891423452700873,,,,0.9546486677915964
2023-12-31,2024-02-15,10957000000,49279000000,9.06,,46645000000,19965000000,,0.22234623267517603,,,,0.946549240041397
2024-12-31,2025-02-18,9245000000,64796000000,7.81,,57984000000,20124000000,,0.14267856040496327,,,,0.894870053707019
2025-12-31,2026-02-17,7988000000,64487000000,6.35,,57452000000,19796000000,,0.12386992727216338,,,,0.8909082450726503
