fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-25,2012-03-30,710189,8485550,0.06,,2125551.0,1599892.0,,0.0836939267342718,,,,0.25049065764741235
2011-12-31,2012-03-30,-45735,8802042,0.0,,2532270.0,81746.0,,-0.005195953393542089,,,,0.2876911971108522
2012-12-29,2013-03-27,-1522028,7532140,-0.12,,2817094.0,,,-0.2020711245409671,,,,0.3740097767699485
2013-12-28,2014-03-17,966455,8864531,0.07,,2275094.0,2437080.0,,0.1090249444668872,,,,0.25665136711688413
2013-12-29,2014-03-17,966455,8864531,,,,,,0.1090249444668872,,,,
2014-12-27,2015-03-24,1002768,10246482,0.07,,,1281865.0,,0.09786461343512827,,,,
2015-12-26,2016-03-09,450619,11007155,0.03,,,1557205.0,,0.04093873485019517,,,,
2016-12-31,2017-03-08,-453617,10751305,-0.03,,,596296.0,,-0.04219180834326624,,,,
2017-12-30,2018-03-12,-1717702,9320834,-0.13,,,-1794530.0,,-0.18428629884407338,,,,
2018-12-29,2019-03-15,-3705967,5835521,-0.28,,2655578.0,-373561.0,,-0.6350704590044316,,,,0.45507127812580916
2019-12-28,2020-03-13,-638202,5365990,-0.05,,3693281.0,-1261898.0,,-0.11893462343388639,,,,0.6882757888106389
2020-12-26,2021-03-17,908064,6357664,0.07,,1963263.0,1667843.0,322991.0,0.14282981925436763,,1344852.0,,0.308802572768866
2021-12-25,2022-03-10,3215877,13166311,0.22,,5634408.0,2006853.0,514322.0,0.24425042063794483,,1492531.0,,0.42794128135056203
2022-12-31,2023-03-16,2131400,15705516,0.15,,5974427.0,3551399.0,439772.0,0.13571028166155127,,3111627.0,,0.38040310168733077
2023-12-30,2024-03-14,1370296,17321974,0.09,,4280142.0,1267453.0,718274.0,0.07910738117953531,,549179.0,,0.24709320080956132
2024-12-28,2025-03-17,-3135449,14512119,-0.22,,4364827.0,-3476421.0,994261.0,-0.21605728288198298,,-4470682.0,,0.3007711692551584
2025-12-27,2026-03-03,420354,24635274,0.03,,4876464.0,243644.0,730662.0,0.017063094163271737,,-487018.0,,0.19794640806511835
