fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2016-01-02,2018-03-12,7657000,211756000,,,,20424000,17975000,0.036159542114509155,,2449000,,
2016-12-31,2018-03-12,12888000,207220000,,,,48163000,13023000,0.06219476884470611,,35140000,,
2017-12-30,2018-03-12,7624000,206908000,,,,45858000,9757000,0.036847294449707114,,36101000,,
2018-12-29,2019-02-28,22492000,196472000,,,,36189000,15447000,0.11447941691436948,,20742000,,
2019-12-28,2020-02-27,20747000,197751000,,,,27832000,16693000,0.1049147665498531,,11139000,,
2021-01-02,2021-03-04,24507000,209019000,3.07,,,54663000,17094000,0.11724771432262139,,37569000,,
2022-01-01,2022-03-03,41679000,205834000,5.45,,,75698000,2623000,0.20248841299299436,,73075000,,
2022-12-31,2023-03-02,43619000,211154000,5.91,,,25121000,3813000,0.2065743485797096,,21308000,,
2023-12-30,2024-02-29,38481000,212101000,5.39,,,60072000,2366000,0.18142771604094277,,57706000,,
2024-12-28,2025-02-20,46653000,212073000,6.74,,,49735000,16623000,0.21998557100621013,,33112000,,
2026-01-03,2026-02-26,54782000,213598000,8.14,,,22424000,3868000,0.25647243888051385,,18556000,,
