fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-02-23,18693000,359006000,0.94,,0.052068767652908306,
2010-12-31,2012-02-23,13289000,381502000,0.64,,0.034833369156649245,
2011-12-31,2012-02-23,14656000,659177000,0.62,,0.02223378546278162,
2012-12-31,2013-03-01,9915000,826343000,0.37,,0.011998649471224419,
2013-12-31,2014-02-20,29734000,927862000,1.05,,0.03204571369449336,
2014-12-31,2015-02-26,44869000,1513546000,1.46,,0.02964495297797358,
2015-12-31,2016-02-26,-3465000,1543780000,-0.11,,-0.002244490795320577,
2016-12-31,2017-02-24,85071000,1654213000,2.62,,0.05142687187200198,
2017-12-31,2018-02-23,122695000,2651250000,3.66,,0.04627817067421028,
2018-12-31,2019-02-28,238334000,3021942000,6.54,,0.07886782737722961,
2019-12-31,2020-02-26,314963000,3405593000,8.6,,0.09248404022441907,
2020-12-31,2021-02-24,227128000,5375359000,5.93,,0.042253549948942946,
2021-12-31,2022-02-23,292564000,5711672000,0.74,,0.05122212900180543,
2022-12-31,2023-02-22,369453000,6870121000,0.93,,0.053776782097433216,
2023-12-31,2024-02-22,374700000,7338600000,0.92,,0.051058785054370046,
2024-12-31,2025-02-20,138700000,7553500000,0.34,,0.018362348580128418,
2025-12-31,2026-02-26,7000000,8334000000,0.02,,0.00083993280537557,
