fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-21,2588000,91223000,0.28,,0.028370038257895486,
2010-12-31,2012-03-21,3279000,97391000,0.31,,0.03366840878520602,
2011-12-31,2012-03-21,6477000,107482000,0.63,,0.060261253047021825,
2012-12-31,2013-03-20,7520000,117665000,0.75,,0.06391025368631284,
2013-12-31,2014-03-21,8250000,120043000,0.77,,0.06872537340786218,
2014-12-31,2015-03-16,5294000,131045000,0.48,,0.0403983364493113,
2015-12-31,2016-03-15,10964000,139323000,1.0,,0.07869483143486718,
2016-12-31,2017-03-29,15182000,164033000,1.33,,0.09255454695091841,
2017-12-31,2018-03-14,14026000,209559000,1.1,,0.06693103135632447,
2018-12-31,2019-03-08,21289000,219738000,1.54,,0.0968835613321319,
2019-12-31,2020-03-06,21443000,228128000,1.59,,0.09399547622387432,
2020-12-31,2021-03-10,20347000,245021000,1.62,,0.08304186171797519,
2021-12-31,2022-03-09,28401000,247845000,2.31,,0.11459178115354354,
2022-12-31,2023-03-09,26645000,174660000,2.27,,0.1525535325775793,
2023-12-31,2024-03-15,25536000,207064000,2.17,,0.12332418962253217,
2024-12-31,2025-03-17,7666000,362685000,0.45,,0.021136799150778224,
2025-12-31,2026-03-11,38168000,409588000,2.0,,0.0931863238180806,
