fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-31,2015-03-19,-22101000,-80039000,,,,,180000,0.2761278876547683,,,,
2013-12-31,2015-03-19,-17143000,-94299000,,,,,7000,0.18179408053107668,,,,
2014-12-31,2015-03-19,-23342000,45325000,,,,,225000,-0.5149917264202979,,,,
2015-12-31,2016-03-10,-39594000,48743000,,,,,277000,-0.8123012535133249,,,,
2016-12-31,2017-03-31,-39305000,13111000,,,755235.0,,535000,-2.99786438868126,,,,0.057603157653878426
2017-12-31,2018-03-28,-11503117,13292783,,,967045.0,-2540128.0,0,-0.865365589733918,,-2540128.0,,0.07274962662070088
2018-12-31,2019-04-01,-16738815,6726620,,,1100767.0,-10268425.0,11836,-2.4884436760215385,,-10280261.0,,0.16364340486009318
2019-12-31,2020-03-27,-14263830,440826,,,7001962.0,-13315480.0,0,-32.357052442460294,,-13315480.0,,15.883731903290641
2020-12-31,2021-03-30,-27400743,-1151733,-0.91,,8702445.0,-25234924.0,17625,23.790881219866062,,-25252549.0,,
2021-12-31,2022-03-31,-38696105,38754321,-0.63,,17052856.0,-28764037.0,14524,-0.9984978191206085,,-28778561.0,,0.4400246362205649
2022-12-31,2023-03-30,-30947738,11112110,-0.37,,32714273.0,-18088429.0,63069,-2.785046044360612,,-18151498.0,,2.9440199026107554
2023-12-31,2024-03-28,-30161391,-5047640,-0.35,,26329855.0,-38856654.0,629430,5.975345111775008,,-39486084.0,,
2024-12-31,2025-03-31,-4053599,-6012089,-0.48,,28113220.0,5394247.0,573046,0.6742413493878749,,4821201.0,,
2025-12-31,2026-03-26,-13399274,2842634,-1.2,,29631929.0,-9885870.0,385278,-4.71368245085368,,-10271148.0,,10.424109822087543
