fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2015-12-31,2017-02-28,119794000,175065000,0.61,185685124.0,0.684282980607203,0.9428057360157726
2016-12-31,2017-02-28,42281000,184112000,0.21,188429725.0,0.22964825758234117,0.9770857543840283
2017-12-31,2018-03-01,-197891000,8407925000,-0.64,,-0.02353624705263189,
2018-12-31,2019-03-01,-519607000,7006052000,-1.28,,-0.07416545009942832,
2019-12-31,2020-03-02,-1048807000,5216043000,-2.41,,-0.20107330403526197,
2020-12-31,2021-03-01,-2675759000,2501471000,-5.81,,-1.0696742036985438,
2021-12-31,2022-02-28,-310097000,2146934000,-0.78,,-0.14443713686587478,
2022-12-31,2023-02-27,-321797000,1660698000,-2.47,,-0.19377213677622301,
2023-12-31,2024-02-23,185280000,1811055000,0.77,,0.10230501006319521,
2024-12-31,2025-02-21,70522000,1958582000,0.07,,0.036006661962583134,
2025-12-31,2026-02-26,141874000,2107297000,0.46,,0.06732510889542385,
