fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-06,-22057000,23759000,,,-0.9283639883833494,
2010-12-31,2012-03-06,-46684000,29081000,,,-1.6053093084832022,
2011-12-31,2012-03-06,-145442000,26104000,-0.68,,-5.571636530799878,
2012-12-31,2013-03-13,-51868000,20009000,-0.85,,-2.592233494927283,
2013-12-31,2014-03-12,-30324000,30099000,-0.31,,-1.007475331406359,
2014-12-31,2015-03-11,-17381000,18145000,-1.84,,-0.9578947368421052,
2015-12-31,2016-03-18,-14704000,8601000,-0.91,,-1.7095686548075806,
2016-12-31,2017-03-29,-17971000,-1490000,,,12.061073825503355,
2017-12-31,2018-03-16,-45117000,678000,-3250.0,,-66.54424778761062,
2018-12-31,2019-06-14,-19222000,-14939000,-0.72,,1.2866992435906017,
2019-12-31,2020-03-25,-8879000,-6357000,-342.83,,1.3967280163599183,
2020-12-31,2021-03-31,-24156000,22078000,-8.35,,-1.094120844279373,
2021-12-31,2022-03-31,-25649000,11952000,-3.59,,-2.1460006693440428,
2022-12-31,2023-03-27,-36508000,-5859000,-4.12,,6.231097456903909,
2023-12-31,2024-03-26,-47678000,15777000,-2.94,,-3.021994041959815,
2024-12-31,2025-03-06,-26386000,68746000,-0.93,,-0.38381869490588544,
2025-12-31,2026-02-26,2700000,111219000,0.07,,0.024276427588811263,
