fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-12,18830078,385505699,,,0.048845135231061786,
2010-12-31,2012-03-12,11467179,380102810,,,0.030168624641317438,
2011-12-31,2012-03-12,452953,383451592,,,0.0011812521044377356,
2012-12-31,2013-03-12,23092620,400034094,,,0.057726629670720016,
2013-12-31,2014-03-14,26321992,396877111,,,0.06632277667431419,
2014-12-31,2015-03-12,14539018,416134643,,,0.034938254347643916,
2015-12-31,2016-03-18,20990033,408388568,,,0.05139721002180453,
2016-12-31,2017-03-10,30801137,438615320,,,0.0702235776898992,
2017-12-31,2018-03-09,7116100,448696104,,,0.015859509223641488,
2018-12-31,2019-03-14,-32760340,398869901,,,-0.08213289575840921,
2019-12-31,2020-03-06,47151744,451015519,,,0.10454572406853255,
2020-12-31,2021-03-05,52815252,517774120,,,0.10200442617719094,
2021-12-31,2022-03-07,25254174,531036087,,,0.0475564177618686,
2022-12-31,2023-03-06,-1959405,483593012,,,-0.004051764503164491,
2023-12-31,2024-03-06,4425504,479745354,,,0.009224693815377731,
2024-12-31,2025-03-10,50862252,545776131,,,0.09319251816089406,
2025-12-31,2026-03-06,79340740,640418079,,,0.1238889759700241,
