fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-12-31,2010-02-17,581490000,3604896000,0.1613056243508828
2009-12-31,2010-02-17,729111000,3989639000,0.182751121091407
2010-12-31,2011-02-16,720894000,4033480000,0.17872755040312582
2011-12-31,2012-02-16,470567000,3692872000,0.12742575426389
2012-12-31,2013-02-27,555721000,4163047000,0.13348900456804835
2013-12-31,2014-02-18,849000000,3948000000,0.21504559270516718
2014-12-31,2015-02-24,556000000,4301000000,0.12927226226458963
2015-12-31,2016-02-26,709000000,4684000000,0.1513663535439795
2016-12-31,2017-02-22,645000000,4628000000,0.13936905790838375
2017-12-31,2018-02-23,772000000,4921000000,0.15687868319447268
2018-12-31,2019-02-21,736000000,5216000000,0.1411042944785276
2019-12-31,2020-02-20,858000000,5641000000,0.15210069136677895
2020-12-31,2021-02-22,1431000000,6759000000,0.21171770972037285
2021-12-31,2022-02-28,1995000000,6444000000,0.3095903165735568
2022-12-31,2023-02-21,946000000,5893000000,0.16052944171050398
2023-12-31,2024-02-22,854000000,6307000000,0.13540510543840178
2024-12-31,2025-02-20,871000000,6778000000,0.1285039834759516
2025-12-31,2026-02-26,992000000,7170000000,0.13835425383542538
