fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-01,31409000,69904000,0.55,,,157848000,15372000,0.4493162050812543,,142476000,,
2010-12-31,2012-03-01,-2788000,83579000,-1.74,,2773062000.0,179282000,18677000,-0.03335766161356322,,160605000,,33.17893250696945
2011-12-31,2012-03-01,75192000,155220000,3.89,,2459074000.0,121686000,26332000,0.4844221105527638,,95354000,,15.842507408839067
2012-12-31,2013-02-27,127674000,308805000,6.63,,2106595000.0,52879000,16952000,0.4134453781512605,,35927000,,6.821764543967876
2013-12-31,2014-02-26,72037000,315179000,3.7,,2089463000.0,127815000,7037000,0.22855900932485984,,120778000,,6.629448662506068
2014-12-31,2015-02-25,36453000,279073000,1.9,,2169035000.0,118524000,5937000,0.13062173696488016,,112587000,,7.772285387694259
2015-12-31,2016-02-24,104923000,267223000,5.52,,2064627000.0,135509000,6642000,0.39264210041800296,,128867000,,7.726232397660381
2016-12-31,2017-03-01,97992000,252772000,5.33,,2025811000.0,118110000,5637000,0.3876695203582675,,112473000,,8.01438054847847
2017-12-31,2018-02-20,-330539000,-146698000,-18.28,,1896938000.0,65733000,13370000,2.2531936359050566,,52363000,,
2018-12-31,2019-02-21,80354000,-202273000,4.37,,1976953000.0,140346000,14279000,-0.397255194712097,,126067000,,
2019-12-31,2020-02-24,104346000,-241774000,5.85,,2291285000.0,155180000,19424000,-0.43158486851357053,,135756000,,
2020-12-31,2021-03-02,-103994000,-354651000,-6.43,,2429596000.0,96503000,10927000,0.29322911820352965,,85576000,,
2021-12-31,2022-03-02,97864000,-242807000,5.66,,2242173000.0,195835000,16849000,-0.40305263027836924,,178986000,,
2022-12-31,2023-03-01,81111000,-301084000,4.96,,2182575000.0,89336000,35318000,-0.26939658035631253,,54018000,,
2023-12-31,2024-02-28,97176000,-250974000,6.22,,1991261000.0,131140000,37172000,-0.38719548638504386,,93968000,,
2024-12-31,2025-03-05,64890000,-216019000,4.22,,2006603000.0,108160000,14069000,-0.30039024345080756,,94091000,,
2024-12-29,2026-02-25,64900000,-216000000,4.22,,2006600000.0,108200000,14100000,-0.300462962962963,,94100000,,
2025-12-28,2026-02-25,17100000,-273900000,1.11,,2011500000.0,89000000,35600000,-0.0624315443592552,,53400000,,
