fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2013-12-31,2015-02-25,147000000,1802000000,1.37,,0.08157602663706992,
2014-12-31,2015-02-25,116000000,1966000000,1.06,,0.059003051881993895,
2015-12-31,2016-02-23,-502000000,1403000000,-4.68,,-0.35780470420527444,
2016-12-31,2017-02-15,-234000000,1183000000,-2.18,,-0.1978021978021978,
2017-12-31,2018-02-14,-52000000,1185000000,-0.48,,-0.04388185654008439,
2018-12-31,2019-02-14,52000000,1214000000,0.47,,0.042833607907743,
2019-12-31,2020-02-19,-97000000,1144000000,-0.89,,-0.08479020979020979,
2020-12-31,2021-02-17,-427000000,699000000,-3.91,,-0.6108726752503576,
2021-12-31,2022-02-17,5000000,712000000,0.05,,0.007022471910112359,
2022-12-31,2023-02-16,128000000,842000000,1.13,,0.15201900237529692,
2023-12-31,2024-02-15,247000000,1060000000,2.24,,0.2330188679245283,
2024-12-31,2025-02-18,81000000,1124000000,0.74,,0.07206405693950178,
2025-12-31,2026-02-26,-89000000,2233000000,-0.76,,-0.039856695029108824,
