fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-26,2012-03-02,26495000,215335000,1.47,,0.12304084333712588,
2010-12-25,2012-03-02,46138000,263153000,2.55,,0.17532766109449635,
2011-12-31,2012-03-02,53277000,317103000,2.93,,0.16801165551886926,
2012-12-29,2013-03-01,70962000,332872000,1.94,,0.21318104256290707,
2013-12-28,2014-02-25,81920000,413641000,2.24,,0.1980461317906107,
2014-12-27,2015-02-25,89987000,462061000,2.49,,0.19475134235523014,
2015-12-26,2016-02-23,92329000,518036000,2.6,,0.17822892617501487,
2016-12-31,2017-02-27,106049000,601642000,3.07,,0.1762659521775408,
2017-12-30,2018-02-27,106599000,634807000,3.13,,0.16792347910467276,
2018-12-29,2019-02-26,133602000,727623000,4.02,,0.18361431675469303,
2019-12-28,2020-02-26,83762000,773584000,2.56,,0.10827783408136674,
2020-12-26,2021-02-22,106870000,853559000,3.3,,0.1252051703514344,
2021-12-25,2022-02-22,131532000,932736000,4.12,,0.141017393989296,
2022-12-31,2023-03-01,121549000,1042631000,3.85,,0.11657911571783305,
2023-12-31,2024-02-28,129259000,1168203000,4.1,,0.11064772132925528,
2024-12-31,2025-02-27,190004000,1293470000,6.14,,0.14689478689107593,
2025-12-31,2026-02-27,204194000,1477075000,6.64,,0.1382421339471591,
