fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-19,-3462850,4587928,,,,-1759253.0,157422.0,-0.7547742684715192,,-1916675.0,,
2011-12-31,2012-03-19,-3222146,5500037,,,,-2124505.0,523596.0,-0.585840786161984,,-2648101.0,,
2012-12-31,2013-03-06,-4280828,8723546,-0.21,,,-3163283.0,245112.0,-0.49072108979536533,,-3408395.0,,
2013-12-31,2014-03-26,2593530,58389014,0.08,,,,378587.0,0.044418116051762754,,,,
2014-12-31,2015-03-30,-41157052,15855799,-0.98,,,,280902.0,-2.595709746320573,,,,
2015-12-31,2016-03-30,-14309480,3687275,,,,,157098.0,-3.8807737421266384,,,,
2016-12-31,2017-03-28,-950003,3284101,,,,,269870.0,-0.28927338105618555,,,,
2017-12-31,2018-03-06,-578156,4785859,-0.04,,,-1289134.0,958819.0,-0.12080506341703756,,-2247953.0,,
2018-12-31,2019-03-15,1464969,7574333,0.09,,,-1382921.0,1003413.0,0.19341227801840769,,-2386334.0,,
2019-12-31,2020-03-31,-2889147,12302817,-0.11,,,-5342874.0,988876.0,-0.23483621677864508,,-6331750.0,,
2020-12-31,2021-03-31,1418000,76545000,0.03,,,,325000.0,0.018525050623816056,,,,
2021-12-31,2022-03-31,-31000000,161776000,-0.68,,,-9012000.0,14283000.0,-0.19162298486796558,,-23295000.0,,
2022-12-31,2023-03-31,-59840000,125562000,-0.54,,,-26953000.0,2294000.0,-0.47657730842133766,,-29247000.0,,
2023-12-31,2024-03-27,-80606000,63927000,-11.52,,,-19194000.0,818000.0,-1.2609069720149546,,-20012000.0,,
2024-12-31,2025-03-31,-46896000,20239000,-6.63,,73737000.0,-9082000.0,133000.0,-2.3171105291763427,,-9215000.0,,3.6433124166213746
2025-12-31,2026-03-31,-23929000,-832000,,,58915000.0,-9129000.0,,28.760817307692307,,,,
